Local,Resultado,Visitante,Link
REAL MURCIA BALONCESTO,82-86,ESET ONTINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415230
CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,91-64,LUCENTUM ALICANTE,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415231
CBI ELCHE X MAXIWATT,87-83,LUCENTUM ALICANTE,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415232
ESET ONTINET,93-86,CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415233
DENIA BASQUET,78-79,REAL MURCIA BALONCESTO,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415234
SERCOMOSA MOLINA BASKET,68-83,RIGALLI ALGINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415236
ADESAVI A,56-74,KLINIK · PM CAROLINAS,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415237
SERVIGROUP BENIDORM,88-94,UCAM MURCIA JUVER C.B.,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415238
UCAM MURCIA JUVER C.B.,76-97,CBI ELCHE X MAXIWATT,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415239
KLINIK · PM CAROLINAS,51-63,SERVIGROUP BENIDORM,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415240
RIGALLI ALGINET,85-65,ADESAVI A,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415241
REAL MURCIA BALONCESTO,68-60,C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415243
CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,88-67,DENIA BASQUET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415244
LUCENTUM ALICANTE,DOMINGO 15/12/2024 12:30,ESET ONTINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415245
CBI ELCHE X MAXIWATT,DOMINGO 22/12/2024 18:45,ESET ONTINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415246
DENIA BASQUET,SÁBADO 21/12/2024 19:30,LUCENTUM ALICANTE,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415247
C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,SÁBADO 21/12/2024 19:00,CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415248
