inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,2,TALENS ALBERO_ OVIDI,19.616666666666667,0,1,2,3,2,1,2,0,0,0,2,2,-5,2.0,950835,2102105,0,2,0,6,0,1
0,4,IGLESIAS CAMINO_ ANXO,14.066666666666666,2,0,3,3,2,2,0,0,0,0,4,2,3,1.0,950835,1828632,2,4,0,1,0,1
0,8,MAS MICO_ JAIME,8.133333333333333,0,0,2,2,0,0,0,0,0,0,0,0,1,-2.0,950835,2182740,0,0,0,0,0,1
1,11,LOPEZ ZOROA_ FRANCISCO,11.45,7,1,2,3,2,0,0,0,0,0,3,1,8,11.0,950835,1889530,1,2,3,4,0,0
1,13,MARTÍNEZ CUCALÓN_ NICOLÁS,35.516666666666666,18,3,4,7,2,3,3,0,1,0,2,5,17,9.0,950835,2033341,3,4,3,6,3,12
0,14,LADSON BUGALLO_ WILL ALEXIO,17.216666666666665,13,2,5,7,1,1,1,0,0,1,4,6,16,4.0,950835,2042389,3,6,5,9,0,0
1,17,MARTINEZ MUÑOZ_ JOSE LUIS,21.516666666666666,7,1,1,2,1,0,0,0,0,0,5,4,5,14.0,950835,1501246,0,0,2,4,1,3
0,21,PALAZON VICEDO_ GINES,15.3,2,2,3,5,1,0,0,0,0,0,4,1,2,4.0,950835,2100996,2,2,0,1,0,2
1,23,CLEDJO_ NATHAN,34.13333333333333,20,5,5,10,1,1,2,0,0,0,3,5,21,17.0,950835,2277572,6,8,7,13,0,3
1,34,BLAZQUEZ VIDAL_ ALEJANDRO,20.7,2,0,3,3,2,1,3,0,0,0,3,1,-1,-9.0,950835,1995455,0,0,1,5,0,0
0,51,NAVARRO MORALES_ JAVIER,2.35,0,0,0,0,0,0,0,0,0,0,1,0,-1,4.0,950835,2118686,0,0,0,0,0,0
0,3,VIVES HURTADO_ ADRIA,17.733333333333334,2,1,0,1,0,0,1,0,0,0,3,3,-2,3.0,950772,2144599,2,2,0,3,0,1
1,5,SADOKI_ SOUFYANE,23.65,5,0,5,5,1,1,3,0,0,0,4,4,4,-16.0,950772,1790780,1,4,2,3,0,1
0,6,ZAPATA SERRA_ JOSE ANGEL,6.55,0,0,2,2,0,0,0,0,0,0,2,0,0,-4.0,950772,2182582,0,0,0,0,0,0
1,7,PEREZ PALOMARES_ DANIEL,35.166666666666664,16,1,6,7,4,2,2,0,0,0,5,10,22,-10.0,950772,1794540,10,15,3,7,0,1
1,8,GARCIA STURGESS_ RICHARD,21.03333333333333,4,0,2,2,2,0,2,1,0,0,5,4,1,-6.0,950772,1995391,2,4,1,4,0,0
1,9,OTS MUT_ IGNACIO,17.0,6,1,0,1,0,0,1,0,0,0,5,0,0,-10.0,950772,1879097,2,2,2,2,0,1
0,20,SOLER MANZANO_ JORDI,5.816666666666666,0,0,1,1,0,0,0,0,0,0,1,0,-1,0.0,950772,1616508,0,0,0,1,0,0
0,30,ALEXANDROV_ IVAN,26.6,11,0,6,6,2,1,5,0,0,0,1,4,11,0.0,950772,2021759,5,5,3,7,0,3
1,34,CLIMENT FIGUERES_ JORGE,30.966666666666665,3,1,5,6,1,0,0,0,0,0,1,2,5,-15.0,950772,2034816,3,4,0,3,0,2
0,35,PEREZ PALOMARES_ ADRIAN,15.483333333333333,13,0,3,3,0,1,3,0,0,0,0,3,13,3.0,950772,1794542,2,5,4,5,1,1
