inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,2,FERNANDEZ CORCOLES_ JORGE,19.016666666666666,9,2,2,4,1,1,1,0,0,0,3,2,12,-9.0,952561,2006470,1,2,4,4,0,0
1,7,MARIN SANCHEZ_ PABLO,31.35,14,1,4,5,1,0,1,0,0,0,4,7,14,-9.0,952561,1835874,5,8,3,5,1,4
1,8,MARTINEZ TENDERO_ NAHUM,26.716666666666665,9,1,5,6,2,0,5,1,0,0,3,2,6,-9.0,952561,2113865,0,0,3,6,1,4
0,9,NAVARRO GARCIA_ ALFONSO,8.616666666666667,0,0,1,1,1,0,0,0,0,0,1,0,-3,-10.0,952561,1766637,0,0,0,2,0,2
1,10,ROCAMORA PEREZ_ JORGE,29.33333333333333,4,0,2,2,1,0,4,0,0,0,3,2,-5,-11.0,952561,1890673,1,4,0,0,1,5
0,15,IBÁÑEZ USERO_ MANUEL,3.95,0,0,1,1,0,0,0,0,0,0,0,0,1,-4.0,952561,2292751,0,0,0,0,0,0
1,17,LLEDO FERNANDEZ_ JORGE JUAN,30.2,5,3,8,11,2,2,0,1,0,0,2,3,11,-19.0,952561,500395,1,3,2,6,0,5
1,19,MOLINA CAÑAVATE_ MARCOS,29.23333333333333,22,1,7,8,0,0,1,0,0,0,1,6,25,-17.0,952561,627482,9,9,5,10,1,5
0,23,BESORA LLOR_ JUAN CARLOS,10.15,4,0,1,1,0,0,0,0,0,0,3,0,2,1.0,952561,2121759,0,0,2,2,0,0
0,27,ZIJIE_ LU,11.433333333333334,5,1,1,2,0,0,0,0,0,0,0,0,2,-3.0,952561,2383849,0,0,1,2,1,5
1,3,MCGUIRK_ LIAM,21.28333333333333,10,4,3,7,0,1,0,0,0,0,1,6,16,23.0,950777,1616642,6,8,2,6,0,1
1,5,CERVANTES GUERRA_ LUIS MANUEL,25.516666666666666,4,0,12,12,1,2,1,0,1,1,2,0,15,30.0,950777,2451920,0,0,2,3,0,0
0,7,SORIA MAGRANER_ GUILLEM,7.933333333333334,2,0,0,0,0,0,0,0,0,0,3,0,-3,-12.0,950777,2144486,0,0,1,1,0,2
1,8,VERCHER FERNANDEZ_ VICENT,17.5,14,0,3,3,0,0,2,0,0,0,4,3,12,10.0,950777,1807414,4,4,2,4,2,2
0,10,SANTAMATILDE PERIS_ VICENT,14.483333333333333,0,1,4,5,1,0,0,0,0,0,0,0,6,-13.0,950777,1504969,0,0,0,0,0,0
1,12,MARCO CLIMENT_ FRANCISCO,28.95,17,2,6,8,3,1,1,0,1,0,2,5,23,26.0,950777,1853272,5,6,6,11,0,2
0,13,BOIX GUILLEM_ JOSE FRANCISCO,16.166666666666668,3,0,1,1,1,0,3,0,0,0,1,0,-3,2.0,950777,1701869,0,0,0,1,1,4
1,15,LUENGO MATEO_ PABLO,27.0,26,1,2,3,0,0,2,0,0,0,0,2,20,15.0,950777,1851070,1,2,5,8,5,10
0,20,FONT FENOLLAR_ ARNAU,15.833333333333334,2,0,0,0,0,0,1,0,0,0,4,1,-10,-2.0,950777,2034658,0,0,1,3,0,6
0,33,GONZALEZ MARIN_ DIEGO,11.05,6,1,4,5,1,0,1,0,0,0,2,0,9,-7.0,950777,1860866,0,0,3,3,0,0
0,35,GRAU PIQUERES_ CARLES,14.283333333333331,6,0,0,0,2,1,0,0,0,0,3,3,3,18.0,950777,1761260,2,5,2,5,0,0
