inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,0,MATUS_ RYBAR,16.383333333333333,5,0,0,0,0,0,2,0,0,0,1,0,-2,-6.0,951085,2586199,0,0,1,2,1,4
1,7,MARTINEZ SANCHEZ_ JOSE TOMAS,22.98333333333333,12,0,3,3,1,3,4,0,0,2,4,1,9,-13.0,951085,2010660,0,0,6,7,0,2
0,9,BERRUGA SAEZ_ DIEGO,5.7,2,0,0,0,0,0,0,0,0,0,1,0,1,-4.0,951085,2253736,0,0,1,1,0,0
1,11,SARRIAS SANCHEZ_ DARIO MIGUEL,27.666666666666668,10,1,2,3,0,0,3,0,0,0,3,4,10,0.0,951085,1589828,2,2,4,5,0,0
0,13,LOZANO MARTINEZ_ ALEJANDRO,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,951085,2177613,0,0,0,0,0,0
0,14,NEVES GLUCK PAUL_ JOAO RICARDO,10.716666666666669,5,2,4,6,0,0,0,0,1,0,1,1,7,18.0,951085,2643310,0,0,1,4,1,2
1,15,MARIN ALVAREZ_ JUAN CARLOS,32.083333333333336,16,1,5,6,5,2,4,0,0,0,5,6,20,-5.0,951085,1714761,2,3,4,7,2,4
0,17,PARRA GOMEZ_ DARIO,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,951085,2179862,0,0,0,0,0,0
0,20,HARTMAN_ PRZEMYSLAW MIROSLAW,16.683333333333334,3,0,1,1,0,1,1,0,0,0,1,1,3,-5.0,951085,2527341,1,2,1,1,0,0
0,35,GUERRERO PEREZ_ JESUS,10.066666666666666,0,1,1,2,0,1,1,0,0,0,2,1,-2,-3.0,951085,2237638,0,2,0,1,0,0
1,50,LOPEZ MARTINEZ_ ALEX,32.15,13,0,2,2,4,1,3,0,0,0,4,3,10,-2.0,951085,2176449,3,3,2,6,2,4
1,77,NOHEL_ SAMUEL,21.566666666666663,6,1,6,7,1,0,5,0,0,0,3,1,3,4.0,951085,2738852,0,0,0,2,2,4
0,3,ORTIN GOMEZ_ MIGUEL,18.716666666666665,8,1,2,3,1,1,1,0,0,0,3,2,9,-4.0,952559,1698640,0,0,1,1,2,4
0,5,GARCIA CORBI_ JOSE MANUEL,4.783333333333333,3,0,1,1,0,1,1,0,0,0,1,0,2,7.0,952559,1499350,0,0,0,0,1,2
0,7,PEREZ DIEZ_ MANUEL,3.2666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,952559,1792455,0,0,0,0,0,0
1,8,BERMUDEZ HERRERO_ JORGE,24.5,8,1,3,4,4,2,2,0,0,0,1,3,8,-4.0,952559,1687924,3,5,1,3,1,7
0,10,LOPEZ IGUAL_ ALVARO,2.1,0,0,0,0,0,0,0,0,0,0,1,0,-2,-3.0,952559,1796571,0,0,0,0,0,1
1,13,VAICIUNAS_ AIRIDAS,35.583333333333336,15,3,5,8,0,3,0,1,0,0,2,2,22,3.0,952559,2233345,0,0,6,9,1,3
0,15,PUJALTE MIRA_ JOSE ANTONIO,20.816666666666663,6,2,1,3,2,1,1,0,0,0,1,2,8,14.0,952559,1995786,0,0,3,6,0,1
1,17,SEGUI HEREDIA_ CHRISTIAN,35.56666666666667,25,2,1,3,2,3,5,0,0,0,4,14,30,18.0,952559,1706355,15,18,5,6,0,4
1,18,FERNANDEZ CARRASCO_ MATEO,25.216666666666665,8,1,4,5,0,1,1,0,0,0,4,2,3,1.0,952559,1673632,2,4,3,3,0,6
1,21,GARCIA RUIZ_ ANTONIO DANIEL,29.45,3,2,5,7,1,0,4,0,0,0,2,0,-1,-9.0,952559,1614405,0,0,0,4,1,3
