inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,0,GOMEZ VELEZ_ SERGIO,17.166666666666668,4,2,1,3,1,2,1,0,0,0,3,2,2,5.0,951375,1577477,4,4,0,4,0,2
0,4,HOHULENKO_ ILLIIA,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.0,951375,2615737,0,0,0,0,0,0
1,7,ZAMORA MAÑA_ UNAI,30.48333333333333,7,0,8,8,2,2,2,0,0,0,3,1,9,5.0,951375,1994360,2,2,1,4,1,4
1,8,MALIK_ CAMAL,22.666666666666668,6,1,1,2,2,4,1,0,1,0,2,2,11,-6.0,951375,2515787,2,2,2,3,0,1
1,10,GRANJA BERNAD_ IAN,27.4,25,1,4,5,0,1,0,0,0,0,2,5,25,1.0,951375,1933382,5,7,4,6,4,9
1,11,GOMEZ GARCIA-GUTIERREZ_ PABLO,24.116666666666667,10,0,3,3,1,0,2,0,0,0,0,6,15,-2.0,951375,1881440,6,6,2,4,0,1
0,12,MARISCAL GOMEZ_ MARIO,13.933333333333334,2,1,0,1,3,0,0,0,0,0,2,0,0,23.0,951375,1991574,0,0,1,2,0,3
0,22,NUÑEZ ANTON_ DANIEL,10.583333333333334,4,1,2,3,1,1,0,0,0,0,1,1,5,-4.0,951375,2019343,1,2,0,1,1,3
1,33,ANDREATTA_ MAXIMILIANO,32.333333333333336,12,8,6,14,2,1,2,1,0,1,4,7,20,11.0,951375,2641325,5,7,2,9,1,3
0,35,GRANJA I BERNAD_ POL,14.766666666666667,11,1,5,6,0,2,0,0,1,0,3,2,14,-1.0,951375,2049105,4,4,2,5,1,2
0,79,CAMARA_ OUWA,4.65,2,0,0,0,0,0,1,1,0,0,1,1,0,-5.0,951375,2680875,0,2,1,1,0,0
0,5,BRIZ GOMEZ_ PEPE,6.216666666666667,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,952153,1684768,0,0,0,0,0,0
0,8,CUBERO SANTAFE_ IVAN,10.1,6,0,2,2,1,0,1,0,0,0,3,1,4,-7.0,952153,1868277,0,0,3,5,0,0
1,10,ZURBRIGGEN_ ALEJANDRO,26.2,13,0,3,3,2,1,1,0,0,0,3,4,11,14.0,952153,2451267,5,8,1,1,2,7
0,15,PELUFO LOZANO_ VICTOR,14.95,2,0,1,1,1,1,0,0,0,0,2,1,3,-17.0,952153,1986323,0,0,1,2,0,0
0,17,LLACER SIMLAT_ EMILIO,21.85,13,0,2,2,2,0,3,0,0,0,2,3,7,-13.0,952153,2090295,3,4,2,6,2,5
1,18,DALMAU ROIG_ JAVIER,23.566666666666663,10,0,4,4,0,0,1,1,0,0,2,1,7,10.0,952153,1618495,0,1,2,5,2,4
1,21,MARTINEZ HERNANDEZ_ MIGUEL,25.966666666666665,13,0,2,2,6,2,5,0,0,0,2,0,8,6.0,952153,1605142,0,0,2,6,3,7
1,22,MARTIN MARGARIT_ ALVARO,13.6,2,0,3,3,0,0,0,1,0,0,3,0,3,2.0,952153,2024048,0,0,1,1,0,0
0,23,LERIN PEREZ_ IVAN,15.0,1,1,3,4,0,0,1,0,0,0,2,2,2,-6.0,952153,1807111,1,2,0,1,0,0
1,50,ANTICH MINGUEZ_ POL,22.416666666666668,16,1,4,5,3,2,2,0,1,0,3,2,18,-3.0,952153,2033012,3,4,5,7,1,3
0,74,VERDEGUER FERRER_ LUIS,20.133333333333333,3,2,5,7,1,1,1,0,1,0,5,6,7,-7.0,952153,228269,1,4,1,3,0,0
