inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
1,2,VELAZQUEZ BALSERA_ CARLOS,25.05,5,1,6,7,5,0,4,0,1,0,3,2,3,5.0,950773,1796900,1,2,2,8,0,2
1,8,CAZORLA ZARAGOZI_ DARIO,34.416666666666664,7,1,7,8,4,0,1,0,0,0,0,3,14,6.0,950773,1756269,1,2,0,2,2,6
0,10,ORTOLA TOMAS_ JOAN MARIA,5.35,0,0,1,1,0,0,0,0,0,0,0,0,0,-3.0,950773,1208733,0,0,0,1,0,0
0,11,JIMENA LLORCA_ SERGIO PATRIZIO,16.666666666666668,8,0,2,2,1,0,0,0,1,0,0,4,2,-4.0,950773,1995485,2,4,3,9,0,5
1,14,CVRKOTA_ MILOS,19.883333333333333,10,3,2,5,1,0,2,0,1,0,1,1,9,-9.0,950773,2643356,2,2,1,5,2,3
0,15,LOPEZ FLOR_ ANDRES,9.833333333333334,2,0,2,2,1,1,1,0,0,0,2,1,3,-11.0,950773,1686734,0,0,1,2,0,0
1,17,SHERMAN_ KAJ-BJORN KRISTOF,28.3,21,5,6,11,1,0,2,0,0,0,4,7,24,15.0,950773,2160027,9,11,6,12,0,2
1,22,SIDDIQUE_ SALEEM,22.016666666666666,3,2,1,3,0,0,0,0,0,0,2,1,-2,-6.0,950773,2378721,0,2,0,3,1,3
0,33,KLEINJAN RODRIGUEZ_ ALAN PETER,20.2,3,0,4,4,1,1,0,0,0,0,2,3,6,11.0,950773,1508383,1,2,1,2,0,2
0,88,IVARS MUNERA_ JAIME,18.28333333333333,9,0,6,6,4,0,1,0,0,0,1,2,17,11.0,950773,1365378,1,2,4,4,0,1
1,0,GOMEZ VELEZ_ SERGIO,40.0,8,0,6,6,6,2,0,0,0,0,3,2,14,-3.0,951375,1577477,0,1,1,2,2,7
0,7,CIPITELLI MONJES_ MASSIMO,0.1333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,-1,0.0,951375,2260769,0,0,0,0,0,0
1,8,MALIK_ CAMAL,29.616666666666667,8,2,4,6,2,1,0,0,0,0,4,1,3,-6.0,951375,2515787,3,4,1,6,1,6
1,10,GRANJA BERNAD_ IAN,32.766666666666666,12,0,2,2,0,0,3,0,0,1,3,6,5,-7.0,951375,1933382,4,6,4,7,0,4
0,12,MARISCAL GOMEZ_ MARIO,12.1,7,0,1,1,1,1,1,0,0,0,1,1,6,7.0,951375,1991574,2,2,1,3,1,2
0,15,MALONE NAVARRO_ BRIAN,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,951375,2237400,0,0,0,0,0,0
0,22,NUÑEZ ANTON_ DANIEL,16.516666666666666,0,2,1,3,2,0,0,0,0,0,2,0,-1,7.0,951375,2019343,0,0,0,1,0,3
1,24,ZAMORA MAÑA_ UNAI,28.73333333333333,7,1,9,10,0,2,4,2,0,0,5,0,6,-14.0,951375,1994360,0,0,2,4,1,5
1,33,ANDREATTA_ MAXIMILIANO,29.966666666666665,21,1,4,5,1,1,1,1,0,2,4,5,18,-2.0,951375,2641325,1,3,4,7,4,10
0,35,GRANJA I BERNAD_ POL,6.416666666666667,2,0,2,2,0,0,0,0,0,0,0,0,2,-1.0,951375,2049105,0,0,1,2,0,1
0,79,CAMARA_ OUWA,2.9166666666666665,0,0,0,0,0,1,0,0,0,0,1,0,0,4.0,951375,2680875,0,0,0,0,0,0
