inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,0,GOMEZ VELEZ_ SERGIO,20.3,3,0,3,3,2,1,1,0,0,0,1,1,7,13.0,951375,1577477,0,0,0,0,1,2
0,5,MIRA SANCHEZ_ MARIO,1.9666666666666668,2,0,0,0,0,0,0,0,0,0,1,0,1,-1.0,951375,2211824,0,0,1,1,0,0
1,8,MALIK_ CAMAL,27.566666666666663,16,1,3,4,1,0,3,1,1,0,3,2,7,7.0,951375,2515787,0,0,5,8,2,10
1,10,GRANJA BERNAD_ IAN,34.18333333333333,22,3,5,8,4,3,4,3,0,0,2,2,23,13.0,951375,1933382,3,5,8,13,1,7
1,11,GOMEZ GARCIA-GUTIERREZ_ PABLO,20.48333333333333,2,0,2,2,3,2,1,0,0,0,1,3,6,-1.0,951375,1881440,2,2,0,1,0,3
0,12,MARISCAL GOMEZ_ MARIO,10.866666666666667,4,0,0,0,0,1,0,0,1,0,0,0,3,4.0,951375,1991574,0,0,2,4,0,0
0,22,NUÑEZ ANTON_ DANIEL,10.65,0,0,3,3,3,0,0,0,0,0,1,0,4,0.0,951375,2019343,0,0,0,0,0,1
1,24,ZAMORA MAÑA_ UNAI,27.53333333333333,11,2,10,12,1,1,0,1,0,0,4,3,22,17.0,951375,1994360,0,0,1,2,3,5
1,33,ANDREATTA_ MAXIMILIANO,31.116666666666667,12,1,6,7,5,2,1,0,1,1,3,3,19,5.0,951375,2641325,0,0,3,6,2,5
0,35,GRANJA I BERNAD_ POL,8.783333333333333,11,0,1,1,1,0,0,1,0,0,0,4,14,3.0,951375,2049105,2,3,0,1,3,5
0,79,CAMARA_ OUWA,6.55,2,1,2,3,0,0,1,0,0,1,1,0,3,5.0,951375,2680875,0,0,1,1,0,0
1,3,MCGUIRK_ LIAM,20.366666666666667,7,4,6,10,2,2,0,0,2,0,0,3,15,-2.0,950777,1616642,0,0,2,10,1,2
1,5,CERVANTES GUERRA_ LUIS MANUEL,27.683333333333334,5,2,5,7,2,0,1,2,1,0,1,1,9,-1.0,950777,2451920,1,2,2,3,0,4
1,6,BAENA SÁNCHEZ_ PEDRO,23.916666666666668,7,0,2,2,1,0,0,0,0,0,4,1,-2,-17.0,950777,1985418,0,0,2,3,1,9
0,7,SORIA MAGRANER_ GUILLEM,0.5,0,0,1,1,0,0,0,0,0,0,0,0,1,2.0,950777,2144486,0,0,0,0,0,0
0,8,VERCHER FERNANDEZ_ VICENT,17.583333333333332,2,0,1,1,4,1,2,0,0,0,0,0,2,-7.0,950777,1807414,0,0,1,3,0,2
0,10,SANTAMATILDE PERIS_ VICENT,7.683333333333334,0,0,1,1,0,0,0,0,0,0,2,0,-1,-1.0,950777,1504969,0,0,0,0,0,0
1,12,MARCO CLIMENT_ FRANCISCO,33.18333333333333,16,1,2,3,2,0,3,0,2,0,2,4,13,-15.0,950777,1853272,4,5,6,11,0,1
0,13,BOIX GUILLEM_ JOSE FRANCISCO,18.7,11,0,3,3,1,2,1,0,0,0,2,5,11,1.0,950777,1701869,4,6,2,4,1,5
0,20,FONT FENOLLAR_ ARNAU,19.2,18,0,1,1,2,1,0,1,0,0,0,2,23,-11.0,950777,2034658,2,2,2,3,4,5
0,33,GONZALEZ MARIN_ DIEGO,9.116666666666667,2,0,2,2,0,0,2,0,0,0,3,0,-1,-5.0,950777,1860866,0,0,1,1,0,0
1,35,GRAU PIQUERES_ CARLES,22.066666666666663,4,1,4,5,1,1,3,0,1,0,4,1,0,-9.0,950777,1761260,0,0,2,6,0,1
