inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,0,OSAWARU CUENCA_ PABLO,3.55,0,0,0,0,0,0,0,0,0,0,2,0,-2,-5.0,952559,2108548,0,0,0,0,0,0
0,3,ORTIN GOMEZ_ MIGUEL,25.48333333333333,8,2,3,5,6,0,3,0,0,0,3,1,8,-14.0,952559,1698640,0,0,1,4,2,5
0,5,GARCIA CORBI_ JOSE MANUEL,11.366666666666667,2,0,1,1,0,0,1,0,0,0,4,1,-6,-1.0,952559,1499350,0,0,1,2,0,4
0,7,PEREZ DIEZ_ MANUEL,8.316666666666666,0,0,1,1,0,1,0,0,0,0,1,0,1,0.0,952559,1792455,0,0,0,0,0,0
1,8,BERMUDEZ HERRERO_ JORGE,32.45,17,0,3,3,3,2,1,0,1,0,0,1,16,-8.0,952559,1687924,2,2,6,9,1,7
1,13,VAICIUNAS_ AIRIDAS,29.03333333333333,6,1,2,3,0,0,1,0,0,0,1,0,5,-17.0,952559,2233345,0,0,3,5,0,0
1,17,SEGUI HEREDIA_ CHRISTIAN,13.416666666666666,0,0,0,0,0,2,3,0,0,0,5,3,-7,-5.0,952559,1706355,0,2,0,1,0,1
1,18,FERNANDEZ CARRASCO_ MATEO,28.633333333333333,9,2,1,3,0,0,0,0,0,0,1,3,9,-6.0,952559,1673632,3,4,3,4,0,3
0,21,GARCIA RUIZ_ ANTONIO DANIEL,16.45,6,1,0,1,0,2,1,0,0,0,2,4,5,-11.0,952559,1614405,2,4,2,3,0,2
1,25,SIDIBE_ BOUBACAR FADIALA,31.3,10,2,9,11,1,2,6,2,2,0,4,4,13,-8.0,952559,2216933,2,4,4,9,0,0
1,7,SANCHEZ RODRIGUEZ_ PABLO JOSE,28.58333333333333,18,2,9,11,1,1,2,0,0,0,1,4,26,15.0,951421,1516866,0,0,9,13,0,2
1,8,CADME ARIAS_ GREGORY RENE,24.016666666666666,4,1,0,1,2,2,5,0,0,0,1,3,0,-3.0,951421,1767254,1,2,0,3,1,3
0,9,IBAÑEZ RUIZ_ JOSE,3.783333333333333,3,0,1,1,0,0,0,0,0,0,1,0,3,4.0,951421,1998643,0,0,0,0,1,1
0,10,LÓPEZ MARTINEZ_ ALVARO,13.766666666666667,5,1,1,2,0,0,0,0,0,0,1,0,3,13.0,951421,1895175,0,0,1,1,1,4
1,11,GONZALEZ LÓPEZ_ JUAN,25.466666666666665,10,4,4,8,2,0,0,1,0,0,1,3,15,13.0,951421,1766977,1,4,3,6,1,3
1,12,MARTÍNEZ-QUINTANILLA JIMÉNEZ_ RAMIRO ENRIQUE,29.816666666666663,9,2,5,7,0,1,2,1,1,0,2,3,8,4.0,951421,1514342,3,4,3,6,0,5
0,13,PARRA GOMEZ_ PABLO,6.4,2,0,1,1,1,0,0,0,1,0,1,1,2,7.0,951421,2133764,0,0,1,2,0,1
0,15,MARMOL MOLINA_ MARIO,3.783333333333333,3,0,0,0,0,0,0,0,0,0,2,0,-1,4.0,951421,1116272,0,0,0,1,1,2
0,16,LORCA AGUILAR_ JOSE MANUEL,11.416666666666666,4,2,1,3,0,0,0,1,0,0,2,2,6,0.0,951421,1736001,2,4,1,1,0,0
0,17,CRUZ MARTINEZ_ JORGE,18.98333333333333,7,0,3,3,4,2,2,0,0,0,1,5,15,6.0,951421,1827474,4,6,0,1,1,1
0,26,LUGO NITSCHE_ ANGEL MANUEL,16.416666666666668,8,0,1,1,1,1,1,0,0,0,1,0,5,9.0,951421,2334582,2,2,0,1,2,5
1,77,CASCALES FERNANDEZ_ JUAN,17.566666666666666,0,0,4,4,3,3,1,0,0,0,3,2,7,3.0,951421,1899744,0,0,0,0,0,1
