inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,3,VIVES HURTADO_ ADRIA,14.15,3,0,1,1,0,2,2,0,0,0,1,2,-1,-3.0,950772,2144599,1,2,1,3,0,3
0,6,ZAPATA SERRA_ JOSE ANGEL,4.95,0,0,2,2,0,0,0,0,0,0,0,0,2,1.0,950772,2182582,0,0,0,0,0,0
1,7,PEREZ PALOMARES_ DANIEL,27.05,11,2,7,9,5,5,4,0,0,0,5,9,22,-14.0,950772,1794540,2,5,3,7,1,2
1,8,GARCIA STURGESS_ RICHARD,24.83333333333333,0,0,1,1,0,0,1,0,0,0,3,1,-8,-4.0,950772,1995391,0,0,0,6,0,0
1,9,OTS MUT_ IGNACIO,26.08333333333333,7,0,0,0,1,1,1,1,0,0,1,1,1,-1.0,950772,1879097,1,2,3,8,0,2
0,20,SOLER MANZANO_ JORDI,4.05,0,0,0,0,0,1,1,0,0,0,1,0,-1,-8.0,950772,1616508,0,0,0,0,0,0
1,30,ALEXANDROV_ IVAN,35.55,20,1,6,7,1,1,2,0,0,0,1,5,21,0.0,950772,2021759,3,3,4,7,3,10
0,32,FEDELE_ SANTIAGO,17.166666666666668,9,0,3,3,0,2,3,0,0,0,4,1,4,-6.0,950772,2712758,1,2,1,1,2,5
0,34,CLIMENT FIGUERES_ JORGE,24.23333333333333,6,3,1,4,0,0,0,0,0,0,2,3,3,-4.0,950772,2034816,4,6,1,3,0,4
1,35,PEREZ PALOMARES_ ADRIAN,21.933333333333334,6,2,2,4,0,2,2,0,0,0,4,0,4,-1.0,950772,1794542,0,0,3,5,0,0
0,5,GARCIA CORBI_ JOSE MANUEL,13.566666666666666,4,0,1,1,0,1,3,0,0,0,0,2,1,0.0,952559,1499350,2,2,1,3,0,2
0,7,PEREZ DIEZ_ MANUEL,16.2,4,0,2,2,0,1,0,0,0,0,2,0,4,2.0,952559,1792455,0,0,2,3,0,0
1,13,VAICIUNAS_ AIRIDAS,32.05,20,2,0,2,0,0,1,0,0,0,4,3,18,12.0,952559,2233345,2,2,6,8,2,2
1,15,PUJALTE MIRA_ JOSE ANTONIO,32.25,8,3,11,14,3,0,2,0,1,0,5,2,11,3.0,952559,1995786,1,2,2,7,1,4
1,17,SEGUI HEREDIA_ CHRISTIAN,29.883333333333333,17,0,4,4,6,2,7,0,0,0,4,8,16,7.0,952559,1706355,9,11,4,10,0,2
1,18,FERNANDEZ CARRASCO_ MATEO,32.55,10,3,6,9,2,1,2,0,0,0,3,2,8,13.0,952559,1673632,2,3,1,2,2,11
1,21,GARCIA RUIZ_ ANTONIO DANIEL,33.7,7,2,6,8,2,2,7,0,0,0,2,5,12,1.0,952559,1614405,3,4,2,3,0,1
0,25,PRIETO SANCHIZ_ IVAN,9.8,0,0,1,1,1,0,1,0,0,0,2,0,-2,2.0,952559,1853643,0,0,0,1,0,0
