inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
1,0,LOPEZ MARTINEZ_ ALEX,31.3,9,0,5,5,1,1,3,0,0,0,1,3,8,-4.0,951085,2176449,1,2,4,5,0,5
0,0,MATUS_ RYBAR,12.816666666666666,2,1,2,3,0,0,3,0,0,0,1,2,2,-14.0,951085,2586199,2,2,0,0,0,1
0,1,HARTMAN_ PRZEMYSLAW MIROSLAW,10.916666666666666,2,0,0,0,0,0,0,0,1,1,2,1,-2,-14.0,951085,2527341,0,0,1,2,0,2
0,9,BERRUGA SAEZ_ DIEGO,10.583333333333334,2,0,1,1,0,0,1,0,0,0,1,0,1,-3.0,951085,2253736,0,0,1,1,0,0
1,11,SARRIAS SANCHEZ_ DARIO MIGUEL,23.45,13,3,3,6,4,0,1,0,0,0,1,6,20,-5.0,951085,1589828,3,4,5,10,0,1
0,13,LOZANO MARTINEZ_ ALEJANDRO,12.233333333333333,6,1,1,2,0,0,0,0,0,0,3,1,3,-2.0,951085,2177613,1,3,1,2,1,1
1,15,MARIN ALVAREZ_ JUAN CARLOS,28.716666666666665,13,1,5,6,3,2,4,0,0,0,4,3,9,-12.0,951085,1714761,1,2,6,10,0,5
0,17,PARRA GOMEZ_ DARIO,9.283333333333331,0,0,1,1,0,1,0,0,0,0,0,0,-2,-4.0,951085,2179862,0,0,0,1,0,3
1,20,SEVILLA NAVARRO_ PABLO,27.3,5,0,1,1,0,0,1,0,1,0,2,2,0,-2.0,951085,2237878,0,0,1,3,1,4
0,35,GUERRERO PEREZ_ JESUS,16.55,6,1,2,3,1,0,1,0,0,0,0,2,10,-8.0,951085,2237638,0,1,3,3,0,0
1,77,NOHEL_ SAMUEL,16.85,6,1,1,2,0,1,0,0,0,0,3,0,2,3.0,951085,2738852,0,0,0,2,2,4
0,0,HENRIQUE RIBEIRO FORMOSO_ RAINA ANDRE,16.366666666666667,8,0,3,3,0,0,1,0,0,2,4,0,5,14.0,950777,2267726,0,0,4,5,0,0
1,3,MCGUIRK_ LIAM,23.116666666666667,11,3,1,4,1,3,2,0,0,0,3,4,13,2.0,950777,1616642,7,8,2,4,0,2
1,5,CERVANTES GUERRA_ LUIS MANUEL,21.78333333333333,4,0,8,8,0,0,1,1,0,0,1,2,9,-3.0,950777,2451920,2,4,1,2,0,1
1,6,BAENA SÁNCHEZ_ PEDRO,26.683333333333334,11,0,1,1,0,1,5,0,0,0,2,0,0,10.0,950777,1985418,0,0,1,1,3,9
0,8,VERCHER FERNANDEZ_ VICENT,12.233333333333333,0,0,1,1,1,0,3,0,0,0,0,1,-4,2.0,950777,1807414,0,0,0,1,0,3
0,10,SANTAMATILDE PERIS_ VICENT,2.8833333333333333,0,1,1,2,0,0,0,0,0,0,0,1,2,0.0,950777,1504969,0,0,0,0,0,1
1,12,MARCO CLIMENT_ FRANCISCO,28.23333333333333,6,1,5,6,3,3,0,1,0,0,3,2,16,21.0,950777,1853272,0,0,3,5,0,0
0,13,BOIX GUILLEM_ JOSE FRANCISCO,14.5,3,0,1,1,0,0,0,0,0,0,2,3,3,-1.0,950777,1701869,0,0,0,0,1,3
1,15,LUENGO MATEO_ PABLO,25.183333333333334,21,1,3,4,2,0,0,0,0,0,0,3,21,5.0,950777,1851070,6,6,3,9,3,6
0,20,FONT FENOLLAR_ ARNAU,11.366666666666667,7,1,1,2,0,0,0,0,0,0,1,2,7,8.0,950777,2034658,2,3,1,1,1,3
0,33,GONZALEZ MARIN_ DIEGO,8.216666666666667,2,0,1,1,0,0,0,0,0,0,2,0,1,-2.0,950777,1860866,0,0,1,1,0,0
0,35,GRAU PIQUERES_ CARLES,9.433333333333334,4,1,1,2,0,1,0,0,0,0,2,0,4,9.0,950777,1761260,0,0,2,3,0,0
