inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,2,TALENS ALBERO_ OVIDI,6.6,0,0,1,1,2,0,1,0,0,0,0,0,1,-4.0,950835,2102105,0,0,0,0,0,1
0,4,IGLESIAS CAMINO_ ANXO,21.73333333333333,17,1,3,4,4,2,1,0,0,0,2,3,19,11.0,950835,1828632,2,4,3,6,3,6
0,8,MAS MICO_ JAIME,13.216666666666669,3,1,2,3,2,0,0,0,0,0,1,1,4,7.0,950835,2182740,0,0,0,2,1,3
1,11,LOPEZ ZOROA_ FRANCISCO,11.816666666666666,5,0,1,1,1,0,0,0,0,0,1,0,1,11.0,950835,1889530,0,0,1,3,1,4
1,13,MARTÍNEZ CUCALÓN_ NICOLÁS,36.63333333333333,17,0,1,1,5,0,1,0,0,0,3,2,13,23.0,950835,2033341,4,4,2,5,3,8
1,14,LADSON BUGALLO_ WILL ALEXIO,15.05,7,0,2,2,1,1,0,0,0,2,4,2,6,7.0,950835,2042389,1,3,3,4,0,0
0,17,MARTINEZ MUÑOZ_ JOSE LUIS,12.133333333333333,2,0,0,0,0,0,0,0,0,0,4,1,-2,-8.0,950835,1501246,0,0,1,2,0,0
0,21,PALAZON VICEDO_ GINES,11.066666666666666,5,1,2,3,0,2,1,0,0,1,3,1,7,2.0,950835,2100996,0,0,1,1,1,1
1,23,CLEDJO_ NATHAN,38.0,15,1,9,10,3,2,3,0,1,0,2,11,27,18.0,950835,2277572,10,12,1,5,1,4
1,34,BLAZQUEZ VIDAL_ ALEJANDRO,25.3,8,3,0,3,0,1,1,0,0,0,4,1,7,11.0,950835,1995455,1,2,2,2,1,1
0,51,NAVARRO MORALES_ JAVIER,8.45,3,3,2,5,0,2,1,2,0,0,2,1,8,7.0,950835,2118686,1,1,1,3,0,0
0,2,FERNANDEZ CORCOLES_ JORGE,15.783333333333331,4,3,1,4,1,0,1,0,0,0,1,1,4,-2.0,952561,2006470,0,2,2,4,0,0
1,3,NAVARRO GARCIA_ ENRIQUE,18.683333333333334,2,0,1,1,1,0,1,0,0,0,4,2,0,-14.0,952561,1437007,2,2,0,1,0,0
0,7,MARIN SANCHEZ_ PABLO,25.03333333333333,8,1,3,4,2,2,3,0,1,0,5,4,6,-5.0,952561,1835874,2,3,3,8,0,0
0,8,MARTINEZ TENDERO_ NAHUM,19.78333333333333,2,1,3,4,3,1,3,0,0,0,5,0,-3,-11.0,952561,2113865,0,0,1,5,0,1
1,10,ROCAMORA PEREZ_ JORGE,12.016666666666667,2,0,1,1,0,0,0,0,0,0,3,0,-1,-3.0,952561,1890673,0,0,1,1,0,1
1,15,BERNAL DE AYALA_ ALVARO,28.7,5,1,2,3,3,0,2,0,0,0,0,7,9,-16.0,952561,1516361,5,7,0,2,0,3
1,17,LLEDO FERNANDEZ_ JORGE JUAN,21.216666666666665,8,0,3,3,3,0,1,1,1,0,0,5,13,-8.0,952561,500395,6,8,1,3,0,2
1,19,MOLINA CAÑAVATE_ MARCOS,32.13333333333333,24,0,8,8,4,0,2,0,0,0,1,5,37,-12.0,952561,627482,4,5,7,7,2,2
0,23,BESORA LLOR_ JUAN CARLOS,7.183333333333334,2,1,1,2,0,0,1,0,0,0,2,2,-1,-5.0,952561,2121759,0,4,1,1,0,0
0,27,ZIJIE_ LU,18.78333333333333,8,1,1,2,1,0,0,0,0,0,2,0,5,-9.0,952561,2383849,0,0,1,3,2,4
0,33,VALDERRAMA FERNANDEZ_ OCTAVIO,0.6833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,952561,992780,0,0,0,0,0,0
