inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
1,7,SANCHEZ RODRIGUEZ_ PABLO JOSE,20.95,14,3,11,14,1,0,3,2,1,0,0,5,26,11.0,951421,1516866,0,4,7,10,0,0
1,8,CADME ARIAS_ GREGORY RENE,27.933333333333334,20,2,3,5,3,2,2,0,0,0,1,4,24,14.0,951421,1767254,2,4,6,8,2,5
0,10,LÓPEZ MARTINEZ_ ALVARO,12.416666666666666,3,1,2,3,1,0,1,0,0,0,1,0,1,2.0,951421,1895175,0,0,0,1,1,4
1,11,GONZALEZ LÓPEZ_ JUAN,15.9,0,1,2,3,0,1,0,0,0,0,3,0,-1,14.0,951421,1766977,0,0,0,1,0,1
1,12,MARTÍNEZ-QUINTANILLA JIMÉNEZ_ RAMIRO ENRIQUE,25.116666666666667,16,1,8,9,2,0,2,0,0,0,3,1,15,5.0,951421,1514342,1,2,0,3,5,9
0,13,PARRA GOMEZ_ PABLO,9.216666666666669,2,0,1,1,0,1,1,0,0,0,1,1,2,-8.0,951421,2133764,0,0,1,1,0,1
0,15,MARMOL MOLINA_ MARIO,12.133333333333333,6,1,1,2,1,1,0,0,0,0,2,1,5,5.0,951421,1116272,0,0,0,0,2,6
0,16,LORCA AGUILAR_ JOSE MANUEL,18.916666666666668,2,3,3,6,0,0,1,0,1,0,1,2,5,-1.0,951421,1736001,0,0,1,4,0,0
0,17,CRUZ MARTINEZ_ JORGE,23.3,15,1,3,4,4,1,2,0,1,0,2,6,22,3.0,951421,1827474,8,8,2,4,1,3
0,26,LUGO NITSCHE_ ANGEL MANUEL,15.466666666666669,4,0,0,0,1,2,0,0,0,0,1,1,2,-5.0,951421,2334582,1,2,0,0,1,5
0,81,YEPES CALERO_ GERMAN,4.2,0,0,0,0,0,1,0,0,0,0,3,0,-2,-4.0,951421,1595850,0,0,0,0,0,0
1,88,TAVELLI_ JUAN IGNACIO,14.45,0,1,0,1,3,0,2,0,0,0,5,0,-7,14.0,951421,2032122,0,0,0,2,0,2
1,0,LOPEZ MARTINEZ_ ALEX,26.9,17,0,3,3,1,2,2,0,0,0,0,2,14,7.0,951085,2176449,1,3,8,11,0,4
0,0,MATUS_ RYBAR,7.2,5,0,0,0,1,0,0,0,0,0,0,1,6,-2.0,951085,2586199,2,2,0,1,1,1
0,1,HARTMAN_ PRZEMYSLAW MIROSLAW,14.85,8,0,4,4,0,0,1,0,0,1,0,2,10,-16.0,951085,2527341,3,4,1,2,1,2
0,5,RAMIREZ SANZ_ FERNANDO,15.083333333333334,4,0,2,2,5,0,1,0,0,0,3,3,5,-9.0,951085,2237528,4,5,0,3,0,1
1,7,MARTINEZ SANCHEZ_ JOSE TOMAS,21.516666666666666,14,2,2,4,1,1,2,0,1,0,2,5,14,-4.0,951085,2010660,6,8,1,3,2,5
0,9,BERRUGA SAEZ_ DIEGO,5.133333333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,8.0,951085,2253736,0,0,0,1,0,0
0,13,LOZANO MARTINEZ_ ALEJANDRO,10.65,2,1,0,1,1,0,0,0,0,0,2,2,0,-12.0,951085,2177613,0,2,1,3,0,0
1,14,NEVES GLUCK PAUL_ JOAO RICARDO,31.166666666666668,10,2,3,5,3,2,0,0,0,2,4,2,9,-6.0,951085,2643310,0,0,2,8,2,5
1,15,MARIN ALVAREZ_ JUAN CARLOS,23.15,9,2,4,6,0,1,1,0,0,0,4,3,9,-18.0,951085,1714761,3,4,3,7,0,0
0,17,PARRA GOMEZ_ DARIO,5.133333333333334,0,0,1,1,0,2,0,0,0,0,1,0,1,8.0,951085,2179862,0,0,0,1,0,0
0,50,BALLESTA VIÑAS_ JUAN,9.733333333333333,3,1,1,2,2,0,1,0,0,0,0,2,6,-8.0,951085,1181015,0,0,0,1,1,2
1,77,NOHEL_ SAMUEL,29.48333333333333,0,0,7,7,1,0,3,2,1,0,5,1,-3,2.0,951085,2738852,0,0,0,5,0,1
