inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,3,VIVES HURTADO_ ADRIA,15.133333333333333,4,2,3,5,0,0,1,0,0,0,2,1,4,-8.0,950772,2144599,0,0,2,4,0,1
0,5,SADOKI_ SOUFYANE,21.3,11,0,1,1,2,2,0,0,0,0,3,5,8,-5.0,950772,1790780,3,6,4,8,0,3
0,6,ZAPATA SERRA_ JOSE ANGEL,15.4,0,1,2,3,0,0,1,0,0,0,2,0,-1,-3.0,950772,2182582,0,0,0,1,0,0
1,7,PEREZ PALOMARES_ DANIEL,37.95,15,1,8,9,4,1,4,0,0,0,3,7,13,8.0,950772,1794540,2,6,5,13,1,5
1,8,GARCIA STURGESS_ RICHARD,18.016666666666666,6,0,0,0,0,0,0,1,0,0,5,0,-2,-1.0,950772,1995391,0,0,3,7,0,0
1,9,OTS MUT_ IGNACIO,37.63333333333333,16,0,7,7,4,2,0,0,1,0,3,3,17,0.0,950772,1879097,4,4,3,6,2,11
0,20,SOLER MANZANO_ JORDI,16.583333333333332,4,4,3,7,1,1,2,0,0,0,1,3,8,3.0,950772,1616508,0,2,2,5,0,0
1,30,ALEXANDROV_ IVAN,30.15,7,2,5,7,2,1,2,0,2,0,5,0,3,3.0,950772,2021759,0,0,2,4,1,6
0,34,CLIMENT FIGUERES_ JORGE,26.816666666666663,9,2,1,3,0,1,2,0,0,0,3,2,6,-9.0,950772,2034816,0,0,0,0,3,7
1,35,PEREZ PALOMARES_ ADRIAN,31.016666666666666,6,2,5,7,2,1,1,1,0,0,3,0,10,7.0,950772,1794542,0,0,3,6,0,0
0,2,FERNANDEZ CORCOLES_ JORGE,17.6,2,3,2,5,0,0,0,0,0,0,1,2,5,3.0,952561,2006470,2,2,0,3,0,0
0,7,MARIN SANCHEZ_ PABLO,37.65,15,2,4,6,4,1,3,0,0,0,2,8,17,9.0,952561,1835874,3,6,3,9,2,5
0,8,MARTINEZ TENDERO_ NAHUM,19.45,3,1,3,4,3,1,2,0,0,0,3,0,3,5.0,952561,2113865,0,0,0,3,1,1
1,9,NAVARRO GARCIA_ ALFONSO,4.183333333333334,0,0,0,0,1,0,0,0,0,0,1,0,-1,-9.0,952561,1766637,0,0,0,0,0,1
1,10,ROCAMORA PEREZ_ JORGE,27.016666666666666,2,0,2,2,1,0,0,0,0,0,3,1,0,-4.0,952561,1890673,0,0,1,2,0,2
1,15,BERNAL DE AYALA_ ALVARO,40.56666666666667,23,1,3,4,3,1,1,2,0,0,3,8,24,-1.0,952561,1516361,9,14,1,5,4,8
0,17,LLEDO FERNANDEZ_ JORGE JUAN,36.36666666666667,11,2,10,12,1,1,1,0,1,0,1,5,15,11.0,952561,500395,6,9,1,7,1,5
1,19,MOLINA CAÑAVATE_ MARCOS,38.88333333333333,19,2,11,13,5,0,6,1,0,0,2,5,30,2.0,952561,627482,6,6,2,4,3,6
0,23,BESORA LLOR_ JUAN CARLOS,11.733333333333333,2,1,5,6,0,2,2,0,0,0,2,1,1,-1.0,952561,2121759,0,2,1,4,0,1
1,27,ZIJIE_ LU,13.016666666666667,2,0,0,0,1,0,0,0,1,0,1,0,-2,-10.0,952561,2383849,0,0,1,3,0,2
0,33,IBÁÑEZ USERO_ MANUEL,3.533333333333333,0,1,0,1,0,0,0,0,0,0,2,0,-1,0.0,952561,2292751,0,0,0,0,0,0
