inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,0,GOMEZ VELEZ_ SERGIO,19.73333333333333,11,2,3,5,4,0,1,0,0,0,1,4,15,6.0,951375,1577477,5,6,0,3,2,5
0,8,MALIK_ CAMAL,33.05,17,0,7,7,1,2,3,0,0,0,4,3,12,1.0,951375,2515787,5,7,3,5,2,9
1,10,GRANJA BERNAD_ IAN,33.5,17,1,6,7,1,1,2,0,0,0,3,6,11,-6.0,951375,1933382,1,3,5,11,2,10
1,11,GOMEZ GARCIA-GUTIERREZ_ PABLO,20.816666666666663,3,0,0,0,3,1,0,0,0,0,2,2,3,-5.0,951375,1881440,0,0,0,1,1,4
0,12,MARISCAL GOMEZ_ MARIO,9.066666666666666,2,1,0,1,1,1,0,0,1,0,0,0,2,7.0,951375,1991574,0,0,1,4,0,0
1,22,NUÑEZ ANTON_ DANIEL,12.416666666666666,3,0,0,0,0,0,0,0,0,0,1,1,1,2.0,951375,2019343,1,2,1,1,0,1
1,24,ZAMORA MAÑA_ UNAI,27.8,12,1,3,4,2,3,1,0,1,0,4,1,9,1.0,951375,1994360,0,1,3,9,2,3
1,33,ANDREATTA_ MAXIMILIANO,35.15,14,3,14,17,2,0,1,1,0,0,3,3,24,8.0,951375,2641325,2,3,6,10,0,4
0,35,GRANJA I BERNAD_ POL,5.883333333333333,0,0,0,0,0,0,0,0,0,0,1,0,-2,-1.0,951375,2049105,0,0,0,0,0,1
0,79,CAMARA_ OUWA,2.583333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,951375,2680875,0,0,0,0,0,0
1,1,MOLINA LORENZ_ JOAQUIN,17.833333333333332,0,0,1,1,1,0,1,0,0,0,5,1,-4,-6.0,950876,1889536,0,0,0,0,0,1
0,2,RAMOS CAMPOS_ NELO,8.633333333333333,3,0,0,0,1,0,0,0,0,0,0,0,1,-7.0,950876,2092444,0,0,0,1,1,3
1,10,RAMOS BELASTEGUI_ EDUARD,29.066666666666663,8,1,8,9,5,2,2,0,0,0,3,2,13,2.0,950876,1955713,1,3,2,5,1,4
0,13,ORTEGA MORA_ RAUL,8.4,1,0,1,1,1,0,4,0,1,0,2,1,-7,-7.0,950876,1890958,1,2,0,1,0,3
1,14,VILLALBA BAULBYS_ MARCO GABRIEL,18.9,0,0,5,5,1,0,1,0,0,0,2,0,-2,-5.0,950876,2446581,0,0,0,0,0,5
1,15,TAEÑO ELEZ_ MARCOS,29.83333333333333,16,0,5,5,3,0,3,0,0,0,4,4,8,3.0,950876,1824713,4,9,3,10,2,3
0,23,TAVARES DE BRITO_ WILLIAN SANDER,2.2666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,950876,2754695,0,0,0,0,0,0
0,25,CONDES LOPEZ-CEPERO_ IGNACIO,26.266666666666666,11,3,10,13,2,1,0,2,0,0,2,3,23,6.0,950876,1822670,3,4,1,4,2,5
1,44,DIAGNE_ MAMADOU SALIF,37.73333333333333,21,2,13,15,2,1,2,0,0,0,2,4,32,-10.0,950876,2276147,1,4,10,14,0,0
0,73,BARBERO LOPEZ_ IKER,21.066666666666663,16,3,2,5,1,0,3,0,0,0,0,4,16,2.0,950876,1509828,2,4,7,11,0,1
