inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,3,VIVES HURTADO_ ADRIA,8.5,0,0,2,2,0,0,1,0,1,0,1,0,-2,-13.0,950772,2144599,0,0,0,1,0,1
0,5,SADOKI_ SOUFYANE,17.95,7,0,1,1,4,1,2,0,1,0,4,1,0,-9.0,950772,1790780,0,2,2,5,1,4
0,6,ZAPATA SERRA_ JOSE ANGEL,4.916666666666667,0,1,1,2,0,0,1,1,0,0,0,1,3,-4.0,950772,2182582,0,0,0,0,0,0
1,7,PEREZ PALOMARES_ DANIEL,41.4,20,5,13,18,8,2,6,1,1,0,3,9,41,15.0,950772,1794540,5,6,6,10,1,4
1,8,GARCIA STURGESS_ RICHARD,30.366666666666667,7,2,3,5,2,1,0,1,1,0,5,4,8,13.0,950772,1995391,3,6,2,5,0,1
1,9,OTS MUT_ IGNACIO,36.5,28,1,3,4,5,0,5,0,0,0,3,5,23,6.0,950772,1879097,6,8,8,13,2,6
0,20,SOLER MANZANO_ JORDI,16.3,4,3,2,5,1,0,2,0,1,0,0,1,1,-9.0,950772,1616508,0,2,2,8,0,0
1,30,ALEXANDROV_ IVAN,38.7,13,2,8,10,4,4,1,0,0,0,1,3,21,7.0,950772,2021759,4,4,0,6,3,8
1,35,PEREZ PALOMARES_ ADRIAN,30.366666666666667,10,1,2,3,2,2,0,0,1,0,4,3,10,4.0,950772,1794542,2,5,4,7,0,0
1,0,MUÑOZ PALENCIA_ JESUS,40.0,16,1,4,5,6,1,1,0,0,0,2,3,16,0.0,950778,2087557,4,6,0,2,4,12
1,2,GARCIA ROSELLO_ MARCOS,45.0,37,1,13,14,3,1,5,2,1,0,4,12,39,-2.0,950778,2557720,14,19,7,15,3,11
0,4,VICENT TORTOSA_ VICENTE,1.8666666666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,950778,2165926,0,0,0,0,0,1
1,7,CASTRILLON RODRIGUEZ_ OSCAR,24.916666666666668,9,1,3,4,1,0,0,0,0,0,5,3,5,-17.0,950778,2183928,5,7,2,5,0,2
0,9,TUDELA GARCIA_ GUSTAVO,27.25,1,1,4,5,0,1,2,2,1,0,4,1,1,6.0,950778,2027626,1,2,0,2,0,0
0,10,GADEA VALENCIA_ VICTOR,5.65,0,2,0,2,0,0,1,0,1,0,1,0,-1,-4.0,950778,2141015,0,0,0,1,0,0
0,11,VERDU SCHLIE_ PAUL,18.866666666666667,2,0,0,0,0,1,1,0,0,0,5,0,-4,9.0,950778,2265449,0,0,1,2,0,0
1,14,SABATER MARTINEZ_ GERMAN,22.75,9,4,1,5,4,0,3,2,0,0,4,0,12,0.0,950778,2117260,0,0,3,4,1,1
1,42,KLOTZ MAROTO_ CONRAD,38.7,13,0,7,7,5,4,4,0,0,0,2,2,17,-2.0,950778,2221478,1,1,3,6,2,7
