inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
1,0,GOMEZ VELEZ_ SERGIO,15.233333333333333,0,1,1,2,3,0,2,0,0,0,0,1,1,-7.0,951375,1577477,0,0,0,0,0,3
1,8,MALIK_ CAMAL,29.216666666666665,14,3,3,6,1,0,1,0,0,0,3,3,10,11.0,951375,2515787,1,2,2,5,3,9
1,10,GRANJA BERNAD_ IAN,29.0,12,2,6,8,2,2,1,0,0,0,4,1,15,8.0,951375,1933382,0,0,3,7,2,3
0,11,GOMEZ GARCIA-GUTIERREZ_ PABLO,24.85,10,1,0,1,5,2,4,0,0,0,1,1,11,11.0,951375,1881440,2,2,1,1,2,5
0,12,MARISCAL GOMEZ_ MARIO,15.033333333333331,4,1,0,1,1,0,1,0,0,0,2,0,-2,-3.0,951375,1991574,0,0,2,5,0,2
0,22,NUÑEZ ANTON_ DANIEL,8.633333333333333,0,0,0,0,1,0,2,0,0,0,3,0,-6,-7.0,951375,2019343,0,0,0,0,0,2
1,24,ZAMORA MAÑA_ UNAI,29.883333333333333,23,3,7,10,1,2,2,0,0,0,2,4,31,13.0,951375,1994360,3,4,4,4,4,8
1,33,ANDREATTA_ MAXIMILIANO,35.95,21,3,7,10,5,3,5,2,0,2,2,7,32,12.0,951375,2641325,6,10,3,6,3,5
0,35,GRANJA I BERNAD_ POL,8.15,2,0,3,3,1,1,0,0,0,0,0,0,4,-10.0,951375,2049105,0,0,1,1,0,3
0,79,CAMARA_ OUWA,4.05,1,2,0,2,0,0,1,0,0,0,1,2,2,-8.0,951375,2680875,1,2,0,0,0,0
1,0,MUÑOZ PALENCIA_ JESUS,37.21666666666667,31,0,4,4,0,3,7,0,0,0,1,3,25,-7.0,950778,2087557,4,5,3,3,7,14
0,1,NAPOLETANO_ GIORGIO,2.3833333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,1.0,950778,2757662,0,0,0,0,0,0
1,2,GARCIA ROSELLO_ MARCOS,25.616666666666667,19,1,3,4,2,0,3,0,0,0,5,5,14,-14.0,950778,2557720,4,5,6,8,1,6
0,4,VICENT TORTOSA_ VICENTE,6.383333333333334,0,0,1,1,2,0,0,0,0,0,1,0,1,3.0,950778,2165926,0,0,0,1,0,0
1,7,CASTRILLON RODRIGUEZ_ OSCAR,34.55,11,2,7,9,2,1,5,0,0,0,1,3,12,-4.0,950778,2183928,2,2,3,11,1,1
0,9,TUDELA GARCIA_ GUSTAVO,13.05,0,1,0,1,0,0,0,0,0,0,2,0,-1,9.0,950778,2027626,0,0,0,0,0,0
0,10,GADEA VALENCIA_ VICTOR,18.0,2,3,3,6,0,1,0,0,0,0,2,0,5,3.0,950778,2141015,0,0,1,3,0,0
1,11,VERDU SCHLIE_ PAUL,29.216666666666665,2,0,1,1,2,2,1,0,1,0,3,1,2,-11.0,950778,2265449,0,0,1,2,0,1
0,13,SHALABI TORRES_ MARUAN,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,950778,2211376,0,0,0,0,0,0
1,14,SABATER MARTINEZ_ GERMAN,33.5,18,5,2,7,1,3,2,0,1,1,4,6,15,0.0,950778,2117260,4,7,7,17,0,1
