inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,3,VIVES HURTADO_ ADRIA,21.216666666666665,9,0,2,2,0,0,2,0,0,0,3,3,7,1.0,950772,2144599,3,3,3,3,0,2
1,5,SADOKI_ SOUFYANE,21.9,7,2,0,2,2,1,6,0,1,0,1,1,1,-18.0,950772,1790780,0,0,2,4,1,4
0,6,ZAPATA SERRA_ JOSE ANGEL,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.0,950772,2182582,0,0,0,0,0,0
0,7,PEREZ PALOMARES_ DANIEL,30.866666666666667,11,0,5,5,4,1,6,0,1,0,3,5,11,12.0,950772,1794540,4,6,2,5,1,2
1,8,GARCIA STURGESS_ RICHARD,23.716666666666665,12,1,7,8,0,1,1,1,0,1,5,1,10,11.0,950772,1995391,0,1,6,11,0,1
1,9,OTS MUT_ IGNACIO,15.65,7,0,4,4,0,0,2,0,0,0,1,2,7,5.0,950772,1879097,3,4,2,3,0,1
0,20,SOLER MANZANO_ JORDI,9.533333333333331,2,0,2,2,0,0,0,0,0,0,2,1,1,-8.0,950772,1616508,0,1,1,2,0,0
1,30,ALEXANDROV_ IVAN,30.366666666666667,13,0,5,5,1,2,1,0,1,0,2,1,12,-12.0,950772,2021759,2,2,4,9,1,3
0,34,CLIMENT FIGUERES_ JORGE,31.6,4,1,6,7,5,3,2,1,0,0,2,4,17,12.0,950772,2034816,0,0,2,2,0,3
1,35,PEREZ PALOMARES_ ADRIAN,8.4,2,0,0,0,0,1,1,0,0,0,1,0,1,-16.0,950772,1794542,0,0,1,1,0,0
1,0,LOPEZ MARTINEZ_ ALEX,31.45,23,1,3,4,1,2,1,0,0,0,0,4,24,17.0,951085,2176449,4,5,2,5,5,10
0,0,MATUS_ RYBAR,14.116666666666667,5,1,0,1,0,2,0,0,0,0,3,0,0,-8.0,951085,2586199,0,0,1,4,1,3
0,1,HARTMAN_ PRZEMYSLAW MIROSLAW,15.883333333333333,6,3,4,7,0,1,0,0,0,0,0,3,15,-7.0,951085,2527341,2,2,2,3,0,1
0,9,BERRUGA SAEZ_ DIEGO,2.1666666666666665,0,1,0,1,0,0,0,0,0,0,3,2,-3,-3.0,951085,2253736,0,2,0,1,0,0
1,11,SARRIAS SANCHEZ_ DARIO MIGUEL,25.98333333333333,10,3,1,4,1,2,2,0,0,0,2,2,11,8.0,951085,1589828,0,0,5,8,0,1
0,13,LOZANO MARTINEZ_ ALEJANDRO,4.216666666666667,2,0,0,0,1,0,0,0,0,0,1,0,1,8.0,951085,2177613,0,0,1,1,0,1
1,15,MARIN ALVAREZ_ JUAN CARLOS,37.833333333333336,14,0,8,8,4,1,3,1,1,0,2,4,13,7.0,951085,1714761,0,4,4,9,2,7
0,17,PARRA GOMEZ_ DARIO,5.066666666666666,0,0,0,0,0,0,0,0,0,0,0,0,-2,-4.0,951085,2179862,0,0,0,1,0,1
0,35,GUERRERO PEREZ_ JESUS,14.016666666666667,3,4,2,6,2,0,1,1,0,0,2,1,8,-4.0,951085,2237638,1,2,1,2,0,0
1,50,BALLESTA VIÑAS_ JUAN,29.366666666666667,0,1,5,6,6,0,3,0,1,0,2,1,2,3.0,951085,1181015,0,0,0,3,0,3
1,77,NOHEL_ SAMUEL,19.9,8,2,2,4,0,2,0,1,0,1,4,2,6,3.0,951085,2738852,1,2,2,6,1,3
