inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
1,1,MOLINA LORENZ_ JOAQUIN,21.53333333333333,3,1,2,3,4,1,2,0,0,0,5,1,-1,11.0,950876,1889536,1,2,1,3,0,3
0,2,RAMOS CAMPOS_ NELO,21.15,9,2,0,2,2,0,0,0,0,0,2,0,6,8.0,950876,2092444,0,0,0,1,3,7
0,8,CERDA BEZERRA_ HECTOR,4.116666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,950876,2228939,0,0,0,0,0,0
1,10,RAMOS BELASTEGUI_ EDUARD,30.05,12,2,6,8,2,1,1,0,0,0,2,3,16,23.0,950876,1955713,5,6,2,4,1,5
0,13,ORTEGA MORA_ RAUL,16.6,11,0,0,0,1,0,1,0,0,0,4,2,6,9.0,950876,1890958,2,2,3,5,1,2
1,14,VILLALBA BAULBYS_ MARCO GABRIEL,30.65,13,1,8,9,2,1,1,1,0,0,0,1,21,21.0,950876,2446581,0,0,2,3,3,7
1,15,TAEÑO ELEZ_ MARCOS,23.4,15,1,2,3,1,0,4,0,0,0,2,3,14,12.0,950876,1824713,1,1,7,8,0,1
1,44,DIAGNE_ MAMADOU SALIF,28.016666666666666,24,1,8,9,2,3,3,0,1,0,1,8,36,14.0,950876,2276147,6,7,9,14,0,0
0,50,RUIZ CASAL_ JOSE,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,1,0,-1,1.0,950876,2229142,0,0,0,0,0,0
0,73,BARBERO LOPEZ_ IKER,20.883333333333333,5,2,4,6,1,0,0,0,0,0,0,1,11,8.0,950876,1509828,0,0,1,3,1,1
0,90,LARA ORTOLÁ_ JADE JOSÉ,2.7666666666666666,0,0,1,1,0,0,0,0,0,0,2,0,-1,-2.0,950876,2307951,0,0,0,0,0,0
0,2,TALENS ALBERO_ OVIDI,20.383333333333333,6,0,1,1,1,3,3,0,1,0,2,1,2,-22.0,950835,2102105,2,2,2,6,0,1
1,4,IGLESIAS CAMINO_ ANXO,22.566666666666663,8,0,3,3,4,0,0,0,0,0,1,2,8,-6.0,950835,1828632,2,2,3,10,0,1
0,8,MAS MICO_ JAIME,9.216666666666669,5,2,1,3,0,0,0,0,0,0,0,2,6,1.0,950835,2182740,0,2,1,1,1,3
1,11,LOPEZ ZOROA_ FRANCISCO,23.0,6,0,3,3,4,0,1,0,0,0,4,1,5,-3.0,950835,1889530,1,2,1,4,1,1
1,13,MARTÍNEZ CUCALÓN_ NICOLÁS,13.216666666666669,2,0,3,3,0,0,1,0,0,0,2,2,-3,-4.0,950835,2033341,0,2,1,3,0,3
0,14,LADSON BUGALLO_ WILL ALEXIO,26.416666666666668,17,3,6,9,0,2,3,1,0,1,3,6,22,-7.0,950835,2042389,2,6,6,8,1,2
0,17,MARTINEZ MUÑOZ_ JOSE LUIS,21.2,4,0,2,2,0,0,0,0,0,0,2,1,0,-25.0,950835,1501246,0,0,2,3,0,4
1,21,PALAZON VICEDO_ GINES,13.083333333333334,9,3,2,5,0,0,1,0,0,0,0,0,11,-5.0,950835,2100996,0,0,3,5,1,1
1,23,CLEDJO_ NATHAN,20.316666666666663,6,0,2,2,0,2,1,0,0,1,2,2,0,-20.0,950835,2277572,0,2,3,8,0,2
0,34,BLAZQUEZ VIDAL_ ALEJANDRO,22.183333333333334,8,4,0,4,1,1,0,0,0,0,2,1,12,-9.0,950835,1995455,0,0,4,5,0,0
0,51,NAVARRO MORALES_ JAVIER,8.416666666666666,0,0,0,0,0,0,1,0,0,0,1,1,-3,-5.0,950835,2118686,0,2,0,0,0,0
