inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
1,2,FERNANDEZ CORCOLES_ JORGE,15.95,2,3,2,5,0,1,1,1,0,0,1,4,4,0.0,952561,2006470,0,4,1,4,0,0
0,7,MARIN SANCHEZ_ PABLO,33.916666666666664,12,0,6,6,2,2,5,0,0,0,5,7,11,-1.0,952561,1835874,3,5,3,8,1,2
0,9,NAVARRO GARCIA_ ALFONSO,20.566666666666663,8,1,0,1,1,0,0,0,0,0,2,1,3,-1.0,952561,1766637,1,2,2,3,1,5
1,10,ROCAMORA PEREZ_ JORGE,27.716666666666665,7,1,4,5,1,3,3,0,0,0,2,2,10,-15.0,952561,1890673,1,1,3,5,0,1
1,15,BERNAL DE AYALA_ ALVARO,36.85,22,4,5,9,4,0,3,1,0,0,2,7,18,5.0,952561,1516361,8,13,7,17,0,5
1,17,LLEDO FERNANDEZ_ JORGE JUAN,33.45,20,4,10,14,3,2,2,0,0,0,3,3,26,0.0,952561,500395,5,6,6,14,1,3
1,19,MOLINA CAÑAVATE_ MARCOS,34.75,8,2,3,5,4,1,2,1,0,0,4,3,7,-6.0,952561,627482,4,6,2,5,0,4
0,23,BESORA LLOR_ JUAN CARLOS,10.25,0,1,3,4,0,1,1,0,0,0,2,0,1,2.0,952561,2121759,0,0,0,1,0,0
0,27,ZIJIE_ LU,11.55,3,0,1,1,1,0,0,0,0,0,3,0,2,-4.0,952561,2383849,0,0,0,0,1,1
1,1,MOLINA LORENZ_ JOAQUIN,32.36666666666667,6,0,5,5,3,1,2,0,0,0,5,2,2,6.0,950876,1889536,0,0,0,0,2,10
0,2,RAMOS CAMPOS_ NELO,10.8,1,0,0,0,1,1,2,0,0,0,1,2,-2,-10.0,950876,2092444,1,2,0,1,0,2
0,9,SARANOVIC_ BODIN,12.533333333333331,9,1,1,2,0,0,0,0,0,0,5,1,5,9.0,950876,2373259,1,2,1,1,2,3
1,10,RAMOS BELASTEGUI_ EDUARD,27.2,3,0,3,3,1,1,2,0,1,0,2,2,0,2.0,950876,1955713,0,2,0,3,1,2
0,13,ORTEGA MORA_ RAUL,14.2,7,1,0,1,1,2,2,0,0,0,3,1,2,-5.0,950876,1890958,1,2,3,6,0,1
1,14,VILLALBA BAULBYS_ MARCO GABRIEL,39.46666666666667,23,2,9,11,0,1,2,0,0,0,2,3,22,4.0,950876,2446581,5,6,3,7,4,11
1,15,TAEÑO ELEZ_ MARCOS,30.133333333333333,12,1,3,4,1,2,1,0,0,0,5,4,9,5.0,950876,1824713,2,3,5,9,0,3
1,44,DIAGNE_ MAMADOU SALIF,37.25,19,11,9,20,0,0,5,0,1,0,3,6,23,13.0,950876,2276147,3,7,8,18,0,0
0,73,BARBERO LOPEZ_ IKER,21.05,6,3,4,7,1,1,3,0,1,0,1,3,12,-4.0,950876,1509828,2,2,2,3,0,1
