inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,2,TALENS ALBERO_ OVIDI,4.983333333333333,0,0,1,1,0,0,1,0,0,0,0,0,-2,-3.0,950835,2102105,0,0,0,2,0,0
0,4,IGLESIAS CAMINO_ ANXO,33.4,9,2,5,7,1,0,5,0,0,0,0,4,8,-4.0,950835,1828632,1,2,1,3,2,7
1,8,MAS MICO_ JAIME,6.6,0,0,0,0,0,0,1,0,0,0,1,0,-2,-7.0,950835,2182740,0,0,0,0,0,0
1,11,LOPEZ ZOROA_ FRANCISCO,26.716666666666665,8,0,2,2,4,0,0,0,0,0,0,3,11,-9.0,950835,1889530,3,4,1,4,1,3
0,13,MARTÍNEZ CUCALÓN_ NICOLÁS,3.633333333333333,0,0,0,0,0,0,0,0,0,0,0,0,-1,-7.0,950835,2033341,0,0,0,0,0,1
0,14,LADSON BUGALLO_ WILL ALEXIO,21.83333333333333,2,3,7,10,1,3,1,3,1,0,1,2,8,-1.0,950835,2042389,0,6,1,5,0,1
1,17,MARTINEZ MUÑOZ_ JOSE LUIS,14.583333333333334,0,0,0,0,1,0,1,0,0,0,4,0,-5,-9.0,950835,1501246,0,0,0,0,0,1
1,21,PALAZON VICEDO_ GINES,14.466666666666669,3,3,3,6,2,0,0,0,0,0,4,1,5,8.0,950835,2100996,1,2,1,2,0,1
1,23,CLEDJO_ NATHAN,38.06666666666667,20,2,6,8,1,1,6,0,0,1,2,5,19,-16.0,950835,2277572,4,7,8,11,0,2
0,34,BLAZQUEZ VIDAL_ ALEJANDRO,28.666666666666668,9,3,1,4,1,2,1,0,0,0,5,3,5,-4.0,950835,1995455,5,7,2,7,0,1
0,51,NAVARRO MORALES_ JAVIER,7.05,0,0,1,1,0,0,1,0,0,0,0,0,-1,-8.0,950835,2118686,0,0,0,1,0,0
1,2,VELAZQUEZ BALSERA_ CARLOS,25.65,3,2,1,3,2,0,4,0,0,0,2,2,-4,8.0,950773,1796900,1,2,1,6,0,2
0,7,ROLDAN PIMENOV_ ALEKSEI,9.833333333333334,4,0,2,2,0,2,0,0,1,0,4,0,0,10.0,950773,2221352,0,0,2,4,0,2
1,8,CAZORLA ZARAGOZI_ DARIO,31.966666666666665,10,0,4,4,4,2,0,0,1,0,0,1,19,13.0,950773,1756269,0,0,2,3,2,3
0,10,ORTOLA TOMAS_ JOAN MARIA,18.05,1,0,4,4,1,0,0,1,0,0,1,2,5,1.0,950773,1208733,1,2,0,2,0,0
0,11,JIMENA LLORCA_ SERGIO PATRIZIO,34.21666666666667,16,1,3,4,5,2,2,0,0,0,4,1,14,7.0,950773,1995485,1,1,3,5,3,9
1,14,CVRKOTA_ MILOS,28.35,13,3,1,4,2,0,7,0,0,0,5,3,4,-1.0,950773,2643356,0,0,2,5,3,6
1,17,SHERMAN_ KAJ-BJORN KRISTOF,20.6,10,2,4,6,1,0,1,0,0,0,0,4,16,12.0,950773,2160027,4,4,3,6,0,1
0,18,LOPEZ FLOR_ ANDRES,15.933333333333334,2,0,5,5,0,0,0,0,0,0,2,2,6,0.0,950773,1686734,0,1,1,1,0,0
0,22,SIDDIQUE_ SALEEM,15.05,4,2,1,3,0,1,2,0,1,0,1,1,2,10.0,950773,2378721,0,0,2,4,0,2
1,88,IVARS MUNERA_ JAIME,0.35,0,0,0,0,0,0,1,0,0,0,0,0,-1,0.0,950773,1365378,0,0,0,0,0,0
