inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,2,FERNANDEZ CORCOLES_ JORGE,12.05,4,0,0,0,0,0,0,0,0,0,0,0,1,-1.0,952561,2006470,0,0,2,4,0,1
1,3,NAVARRO GARCIA_ ENRIQUE,27.25,5,0,4,4,3,1,2,0,0,0,4,3,4,-34.0,952561,1437007,5,6,0,2,0,3
0,7,MARIN SANCHEZ_ PABLO,18.1,5,0,3,3,1,1,2,0,0,0,2,0,5,-20.0,952561,1835874,0,0,1,1,1,2
0,8,MARTINEZ TENDERO_ NAHUM,12.75,2,0,1,1,2,0,0,0,0,0,0,1,1,2.0,952561,2113865,2,2,0,4,0,1
0,9,NAVARRO GARCIA_ ALFONSO,10.216666666666669,6,0,1,1,1,0,1,0,0,0,1,0,4,-3.0,952561,1766637,0,0,0,0,2,4
1,10,ROCAMORA PEREZ_ JORGE,11.616666666666667,2,0,1,1,1,0,0,0,0,0,1,1,0,-23.0,952561,1890673,0,2,1,2,0,1
1,15,BERNAL DE AYALA_ ALVARO,28.016666666666666,20,2,3,5,1,0,1,0,0,0,1,10,22,-17.0,952561,1516361,12,15,1,6,2,6
0,17,LLEDO FERNANDEZ_ JORGE JUAN,21.85,14,2,1,3,1,1,2,0,0,0,2,4,14,-12.0,952561,500395,3,4,4,6,1,3
1,19,MOLINA CAÑAVATE_ MARCOS,20.416666666666668,7,0,2,2,2,0,1,0,0,0,3,2,6,-18.0,952561,627482,2,2,1,3,1,2
0,23,BESORA LLOR_ JUAN CARLOS,19.58333333333333,3,5,2,7,0,3,1,0,0,0,3,1,6,-14.0,952561,2121759,1,2,1,4,0,0
1,27,ZIJIE_ LU,11.45,0,0,1,1,1,1,0,0,0,0,0,0,-2,-18.0,952561,2383849,0,0,0,3,0,2
0,33,VALDERRAMA FERNANDEZ_ OCTAVIO,6.7,0,0,1,1,0,1,0,0,0,0,3,0,-1,-2.0,952561,992780,0,0,0,0,0,0
1,0,LOPEZ MARTINEZ_ ALEX,27.633333333333333,17,1,10,11,7,1,4,0,0,0,2,4,27,31.0,951085,2176449,5,5,3,8,2,4
0,0,MATUS_ RYBAR,25.03333333333333,13,0,1,1,1,1,1,0,0,0,3,1,9,8.0,951085,2586199,2,2,4,6,1,3
0,1,HARTMAN_ PRZEMYSLAW MIROSLAW,15.35,0,1,2,3,0,0,1,0,0,0,1,1,-3,1.0,951085,2527341,0,2,0,2,0,1
0,8,SYLLA_ MAHAMADOU,4.866666666666667,1,1,0,1,0,0,0,0,0,0,1,1,1,-1.0,951085,2617057,1,2,0,0,0,0
0,9,BERRUGA SAEZ_ DIEGO,8.733333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,951085,2253736,0,0,0,0,0,0
1,11,SARRIAS SANCHEZ_ DARIO MIGUEL,15.25,8,1,6,7,0,1,0,0,0,0,0,3,17,19.0,951085,1589828,2,2,3,4,0,1
0,13,LOZANO MARTINEZ_ ALEJANDRO,12.033333333333331,2,1,1,2,0,0,0,0,0,0,2,1,2,11.0,951085,2177613,2,2,0,0,0,1
1,15,MARIN ALVAREZ_ JUAN CARLOS,21.78333333333333,30,0,4,4,5,2,2,0,0,0,0,4,37,32.0,951085,1714761,3,3,3,5,7,11
1,20,SEVILLA NAVARRO_ PABLO,17.183333333333334,8,2,1,3,0,0,3,0,0,0,5,0,0,11.0,951085,2237878,0,0,1,3,2,3
0,35,GUERRERO PEREZ_ JESUS,17.15,11,3,7,10,4,0,2,0,0,0,4,3,21,11.0,951085,2237638,3,4,4,4,0,0
0,50,BALLESTA VIÑAS_ JUAN,13.4,3,0,1,1,5,0,2,0,0,0,2,0,4,9.0,951085,1181015,0,0,0,0,1,2
1,77,NOHEL_ SAMUEL,21.58333333333333,7,0,5,5,0,0,1,0,0,0,2,2,9,22.0,951085,2738852,0,0,2,2,1,3
