inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,3,VIVES HURTADO_ ADRIA,16.383333333333333,10,0,1,1,1,1,2,0,0,0,2,2,8,13.0,950772,2144599,2,3,4,5,0,1
1,5,SADOKI_ SOUFYANE,26.05,10,1,2,3,8,2,2,1,0,0,1,4,22,9.0,950772,1790780,2,2,4,6,0,1
0,6,ZAPATA SERRA_ JOSE ANGEL,15.45,6,1,3,4,0,0,0,0,0,0,4,1,5,8.0,950772,2182582,2,2,2,4,0,0
0,7,PEREZ PALOMARES_ DANIEL,28.616666666666667,11,1,4,5,2,3,1,1,0,0,3,9,14,23.0,950772,1794540,4,10,2,7,1,3
1,8,GARCIA STURGESS_ RICHARD,19.466666666666665,4,1,5,6,1,1,0,0,0,0,3,1,6,6.0,950772,1995391,0,0,2,6,0,0
1,9,OTS MUT_ IGNACIO,17.816666666666666,7,0,3,3,1,0,1,0,0,0,3,1,5,4.0,950772,1879097,0,0,2,3,1,3
0,13,JIMENEZ MORENO_ JOAQUIN,1.0166666666666666,2,0,0,0,0,0,0,0,0,0,0,0,2,5.0,950772,2184339,0,0,1,1,0,0
0,20,SOLER MANZANO_ JORDI,5.083333333333333,3,0,1,1,1,0,0,0,0,0,1,1,3,10.0,950772,1616508,1,2,1,2,0,0
1,30,ALEXANDROV_ IVAN,30.116666666666667,17,0,7,7,6,3,3,0,0,0,3,6,28,18.0,950772,2021759,10,11,2,4,1,3
0,34,CLIMENT FIGUERES_ JORGE,17.733333333333334,11,0,3,3,3,0,0,0,0,0,2,0,14,14.0,950772,2034816,0,0,1,1,3,4
1,35,PEREZ PALOMARES_ ADRIAN,22.266666666666666,8,1,2,3,2,1,2,0,0,0,3,0,5,10.0,950772,1794542,0,0,4,8,0,0
0,4,PORRA MAESTRE_ JOEL,14.283333333333331,3,0,0,0,0,0,3,0,0,0,3,1,-3,-10.0,950873,2077062,0,0,0,1,1,1
0,7,BARTUAL BARDISA_ OSCAR,6.833333333333333,0,0,1,1,1,0,0,0,0,0,1,0,-1,-1.0,950873,1794812,0,0,0,0,0,2
0,8,COMINO DIEZ_ CARLOS,6.25,3,0,1,1,0,1,0,0,0,0,0,0,4,-6.0,950873,1698706,0,0,0,0,1,2
1,10,SERNEGUET GARVI_ ALDO JOSE,24.2,10,2,5,7,2,1,3,0,0,0,5,4,8,-10.0,950873,1677187,4,6,3,7,0,2
1,12,ALBALADEJO PEREZ_ NORBERTO,31.33333333333333,14,0,3,3,2,4,3,0,0,0,3,4,11,-16.0,950873,1796561,2,2,6,11,0,5
1,14,STRUKOV STRUKOV_ VALENTIN,32.13333333333333,22,2,9,11,2,1,1,0,0,0,2,10,34,-18.0,950873,1876136,5,10,7,10,1,2
0,15,MOLINELLI VILLALBA_ GABRIEL,7.866666666666667,0,2,0,2,0,0,0,0,0,0,4,1,-4,-6.0,950873,1294535,0,0,0,3,0,0
0,24,SEVERA LENCINA_ CARLOS,7.25,0,1,1,2,2,0,1,0,0,0,1,0,1,-4.0,950873,2020015,0,0,0,1,0,0
1,30,SANCHEZ ALIAGA_ OLIVER,18.466666666666665,1,0,3,3,5,0,0,0,1,0,2,1,4,-10.0,950873,1605745,1,2,0,1,0,2
0,37,MIRANDA ORTEGA_ JORGE,7.15,4,0,0,0,0,0,0,0,0,0,2,1,1,-6.0,950873,2071571,2,2,1,2,0,1
1,77,LOPEZ-VALVERDE CARRASCO_ PABLO,28.7,4,0,2,2,1,0,1,0,0,0,1,1,-1,-25.0,950873,1699015,0,2,2,2,0,5
0,88,OSA NZANG_ LUCIANO,15.533333333333331,4,1,5,6,1,0,1,0,1,0,2,2,7,-8.0,950873,2006599,0,1,2,4,0,0
