inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
1,2,VELAZQUEZ BALSERA_ CARLOS,34.45,9,1,4,5,2,0,5,0,0,0,1,0,6,11.0,950773,1796900,0,0,3,5,1,3
1,8,CAZORLA ZARAGOZI_ DARIO,34.31666666666667,17,0,3,3,7,2,3,0,0,0,3,3,24,22.0,950773,1756269,5,5,0,1,4,5
0,10,ORTOLA TOMAS_ JOAN MARIA,7.983333333333333,0,0,0,0,0,0,0,0,0,0,0,0,-1,4.0,950773,1208733,0,0,0,1,0,0
1,11,JIMENA LLORCA_ SERGIO PATRIZIO,25.866666666666667,16,1,1,2,5,1,2,0,0,0,5,3,14,9.0,950773,1995485,2,2,1,2,4,9
1,14,CVRKOTA_ MILOS,23.6,14,2,1,3,0,0,2,0,0,0,3,5,11,-2.0,950773,2643356,4,4,2,5,2,5
0,15,LOPEZ FLOR_ ANDRES,18.73333333333333,3,0,2,2,0,1,0,0,0,0,2,6,2,-11.0,950773,1686734,1,9,1,1,0,0
1,17,SHERMAN_ KAJ-BJORN KRISTOF,29.683333333333334,21,2,4,6,3,3,2,0,0,0,5,3,25,31.0,950773,2160027,2,2,5,8,3,4
0,22,SIDDIQUE_ SALEEM,3.783333333333333,0,0,0,0,0,0,0,0,0,0,2,0,-2,-7.0,950773,2378721,0,0,0,0,0,0
0,33,KLEINJAN RODRIGUEZ_ ALAN PETER,21.58333333333333,10,1,3,4,3,0,3,0,0,0,2,3,9,-2.0,950773,1508383,8,9,1,2,0,4
1,8,CUBERO SANTAFE_ IVAN,14.35,9,1,0,1,2,1,1,0,0,0,1,2,10,0.0,952153,1868277,3,4,3,4,0,1
1,10,ZURBRIGGEN_ ALEJANDRO,18.55,14,2,1,3,4,1,4,0,0,0,5,3,9,-3.0,952153,2451267,3,3,1,4,3,7
0,15,PELUFO LOZANO_ VICTOR,15.75,2,1,2,3,0,1,0,0,0,0,2,1,3,-9.0,952153,1986323,0,0,1,2,0,1
0,17,LLACER SIMLAT_ EMILIO,22.066666666666663,18,1,2,3,2,0,3,0,0,0,3,4,15,-3.0,952153,2090295,7,7,4,8,1,3
0,18,DALMAU ROIG_ JAVIER,23.916666666666668,7,0,0,0,1,4,1,0,0,0,4,0,6,-14.0,952153,1618495,0,0,2,2,1,2
1,21,MARTINEZ HERNANDEZ_ MIGUEL,24.866666666666667,12,1,1,2,1,1,2,0,0,0,3,2,8,-13.0,952153,1605142,3,3,3,3,1,6
0,22,MARTIN MARGARIT_ ALVARO,7.95,3,1,4,5,0,1,2,0,0,0,4,2,4,6.0,952153,2024048,1,2,1,1,0,0
0,23,LERIN PEREZ_ IVAN,17.133333333333333,2,0,2,2,2,1,2,0,0,0,1,3,5,0.0,952153,1807111,2,2,0,2,0,0
1,50,ANTICH MINGUEZ_ POL,26.433333333333334,9,1,2,3,0,2,3,0,0,0,1,2,5,-3.0,952153,2033012,2,2,2,5,1,5
1,74,VERDEGUER FERRER_ LUIS,28.98333333333333,3,3,9,12,1,0,4,0,0,0,4,2,8,-16.0,952153,228269,1,2,1,2,0,0
