inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
1,0,LOPEZ MARTINEZ_ ALEX,23.1,10,1,3,4,2,1,1,0,0,0,0,0,12,17.0,951085,2176449,0,0,2,3,2,5
0,5,RAMIREZ SANZ_ FERNANDO,18.58333333333333,7,1,4,5,1,0,7,0,0,0,1,2,2,-15.0,951085,2237528,0,0,2,2,1,6
1,7,MARTINEZ SANCHEZ_ JOSE TOMAS,20.65,2,1,3,4,1,1,3,0,0,1,2,2,-1,15.0,951085,2010660,0,0,1,4,0,3
0,9,BERRUGA SAEZ_ DIEGO,7.383333333333334,2,0,1,1,0,0,2,0,0,0,0,0,0,-9.0,951085,2253736,0,0,1,2,0,0
1,11,SARRIAS SANCHEZ_ DARIO MIGUEL,24.53333333333333,15,2,3,5,1,0,2,0,0,0,1,3,18,22.0,951085,1589828,2,4,2,3,3,3
0,13,LOZANO MARTINEZ_ ALEJANDRO,16.716666666666665,8,1,0,1,0,0,0,0,0,0,1,3,8,1.0,951085,2177613,0,0,1,3,2,3
1,14,NEVES GLUCK PAUL_ JOAO RICARDO,27.48333333333333,15,0,7,7,0,1,0,1,0,2,3,1,15,4.0,951085,2643310,1,2,7,10,0,3
1,15,MARIN ALVAREZ_ JUAN CARLOS,22.216666666666665,6,0,3,3,1,0,2,1,0,0,1,2,5,24.0,951085,1714761,2,2,2,2,0,5
0,50,BALLESTA VIÑAS_ JUAN,12.283333333333331,0,0,4,4,4,0,2,0,0,0,1,1,5,5.0,951085,1181015,0,0,0,1,0,0
0,55,DIAZ GALIAN_ RODRIGO,4.383333333333334,0,0,0,0,0,1,0,0,0,0,0,0,1,-12.0,951085,2237933,0,0,0,0,0,0
0,77,NOHEL_ SAMUEL,22.666666666666668,11,3,4,7,1,0,1,1,0,0,0,2,19,-2.0,951085,2738852,4,4,2,2,1,3
1,4,PORRA MAESTRE_ JOEL,13.35,0,0,0,0,0,0,1,0,0,0,1,1,-2,-10.0,950873,2077062,0,0,0,1,0,0
0,7,BARTUAL BARDISA_ OSCAR,14.433333333333334,0,0,1,1,0,2,1,0,0,0,0,0,-1,-2.0,950873,1794812,0,0,0,1,0,2
0,8,COMINO DIEZ_ CARLOS,20.166666666666668,7,1,2,3,0,0,4,0,1,0,2,1,-1,4.0,950873,1698706,2,2,1,4,1,4
1,12,ALBALADEJO PEREZ_ NORBERTO,27.666666666666668,21,1,1,2,0,5,5,0,1,0,1,1,15,-12.0,950873,1796561,0,0,6,10,3,7
1,14,STRUKOV STRUKOV_ VALENTIN,23.53333333333333,8,1,5,6,2,2,0,0,1,0,2,3,13,-17.0,950873,1876136,0,2,4,7,0,1
1,16,SANCHEZ LUBIAN_ PEDRO MANUEL,20.03333333333333,8,0,5,5,1,2,2,0,0,0,3,2,5,3.0,950873,1208481,0,1,1,2,2,8
0,24,SEVERA LENCINA_ CARLOS,13.483333333333333,0,1,2,3,1,1,1,0,0,0,3,0,-1,-4.0,950873,2020015,0,0,0,0,0,2
0,30,SANCHEZ ALIAGA_ OLIVER,18.15,5,1,0,1,2,2,2,0,0,0,0,1,7,-11.0,950873,1605745,0,0,1,2,1,2
1,77,LOPEZ-VALVERDE CARRASCO_ PABLO,28.65,15,0,3,3,2,4,1,0,0,0,2,1,19,1.0,950873,1699015,2,2,2,3,3,5
0,88,OSA NZANG_ LUCIANO,20.53333333333333,2,1,3,4,0,0,0,0,0,0,2,0,2,-2.0,950873,2006599,0,0,1,3,0,0
