inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
1,2,FERNANDEZ CORCOLES_ JORGE,17.133333333333333,2,1,3,4,2,1,1,0,1,0,1,1,2,-14.0,952561,2006470,0,0,1,7,0,0
1,3,NAVARRO GARCIA_ ENRIQUE,13.5,3,0,0,0,0,0,2,0,0,0,4,0,-7,-13.0,952561,1437007,0,0,0,1,1,4
0,7,MARIN SANCHEZ_ PABLO,26.616666666666667,14,1,2,3,1,1,3,0,0,0,4,8,8,-34.0,952561,1835874,3,9,4,10,1,1
1,8,MARTINEZ TENDERO_ NAHUM,28.98333333333333,9,0,3,3,3,1,1,0,0,0,1,1,9,-14.0,952561,2113865,0,0,3,8,1,2
0,9,NAVARRO GARCIA_ ALFONSO,14.633333333333333,0,0,2,2,0,0,2,0,0,0,2,0,-5,-21.0,952561,1766637,0,0,0,0,0,3
0,10,ROCAMORA PEREZ_ JORGE,17.083333333333332,2,0,0,0,0,1,2,0,0,0,2,0,-1,-17.0,952561,1890673,0,0,1,1,0,0
0,15,IBÁÑEZ USERO_ MANUEL,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,952561,2292751,0,0,0,0,0,0
0,17,LLEDO FERNANDEZ_ JORGE JUAN,18.25,10,1,2,3,0,0,3,0,1,0,2,3,2,-25.0,952561,500395,2,4,1,7,2,3
1,19,MOLINA CAÑAVATE_ MARCOS,27.95,14,1,5,6,0,0,2,0,0,0,1,5,14,-22.0,952561,627482,7,8,2,8,1,2
0,23,BESORA LLOR_ JUAN CARLOS,12.05,0,1,1,2,0,0,1,1,0,0,2,1,0,-16.0,952561,2121759,0,0,0,1,0,0
1,27,ZIJIE_ LU,21.75,5,6,2,8,2,2,3,0,1,0,1,3,11,-13.0,952561,2383849,0,0,1,3,1,4
1,8,CUBERO SANTAFE_ IVAN,19.35,7,2,4,6,2,0,0,0,0,0,3,1,12,24.0,952153,1868277,1,2,3,3,0,0
1,10,ZURBRIGGEN_ ALEJANDRO,21.616666666666667,17,2,3,5,3,1,1,1,0,0,1,4,19,28.0,952153,2451267,5,6,3,8,2,6
0,15,PELUFO LOZANO_ VICTOR,18.9,9,0,1,1,0,2,1,0,0,1,1,3,11,12.0,952153,1986323,1,2,4,4,0,1
0,17,LLACER SIMLAT_ EMILIO,22.466666666666665,18,2,2,4,0,0,4,0,0,0,2,3,13,2.0,952153,2090295,2,3,8,11,0,2
0,18,DALMAU ROIG_ JAVIER,17.466666666666665,0,0,3,3,0,1,0,0,0,0,3,0,-4,15.0,952153,1618495,0,0,0,2,0,3
1,21,MARTINEZ HERNANDEZ_ MIGUEL,18.933333333333334,16,1,5,6,6,2,1,0,0,0,3,2,23,35.0,952153,1605142,0,0,2,4,4,7
0,22,MARTIN MARGARIT_ ALVARO,14.3,6,2,3,5,0,0,1,0,0,0,5,2,4,5.0,952153,2024048,0,2,3,4,0,0
0,23,LERIN PEREZ_ IVAN,20.2,5,1,3,4,0,3,3,0,0,0,3,3,5,6.0,952153,1807111,3,4,1,3,0,1
1,50,ANTICH MINGUEZ_ POL,23.266666666666666,5,0,2,2,1,2,0,0,0,0,1,0,1,31.0,952153,2033012,0,0,1,5,1,5
1,74,VERDEGUER FERRER_ LUIS,23.5,14,5,8,13,1,4,1,2,1,0,0,1,32,32.0,952153,228269,0,1,7,7,0,1
