inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
1,2,VELAZQUEZ BALSERA_ CARLOS,20.616666666666667,5,1,1,2,4,1,1,0,0,0,2,1,6,13.0,950773,1796900,2,2,0,2,1,3
0,7,ROLDAN PIMENOV_ ALEKSEI,4.266666666666667,0,0,0,0,0,0,0,0,0,0,1,0,-1,3.0,950773,2221352,0,0,0,0,0,0
1,8,CAZORLA ZARAGOZI_ DARIO,21.216666666666665,10,1,2,3,4,0,0,0,0,0,3,3,14,16.0,950773,1756269,0,0,2,2,2,5
0,10,ORTOLA TOMAS_ JOAN MARIA,19.75,5,5,1,6,2,0,0,0,0,0,0,4,13,16.0,950773,1208733,1,2,2,5,0,0
0,11,JIMENA LLORCA_ SERGIO PATRIZIO,21.58333333333333,14,3,4,7,4,0,0,0,0,0,3,1,17,21.0,950773,1995485,0,0,1,4,4,7
1,14,CVRKOTA_ MILOS,31.28333333333333,17,2,5,7,1,1,1,0,0,0,2,3,19,21.0,950773,2643356,2,2,3,5,3,8
1,17,SHERMAN_ KAJ-BJORN KRISTOF,22.6,19,2,5,7,2,2,1,0,0,1,0,3,25,20.0,950773,2160027,1,3,6,8,2,5
0,22,SIDDIQUE_ SALEEM,6.366666666666666,2,2,0,2,1,2,0,0,0,0,1,0,5,5.0,950773,2378721,0,0,1,1,0,1
1,33,KLEINJAN RODRIGUEZ_ ALAN PETER,26.383333333333333,16,4,3,7,3,1,1,0,0,0,1,1,13,19.0,950773,1508383,0,0,2,10,4,9
0,88,IVARS MUNERA_ JAIME,25.933333333333334,9,1,3,4,1,1,1,0,0,0,4,4,7,21.0,950773,1365378,4,5,1,4,1,4
0,0,HENRIQUE RIBEIRO FORMOSO_ RAINA ANDRE,10.566666666666666,0,0,2,2,1,0,1,0,0,0,0,0,1,-5.0,950777,2267726,0,0,0,1,0,0
1,3,MCGUIRK_ LIAM,16.833333333333332,5,2,6,8,2,1,2,0,0,0,5,1,8,-10.0,950777,1616642,1,2,2,3,0,0
0,5,CERVANTES GUERRA_ LUIS MANUEL,9.0,1,1,0,1,0,0,1,0,0,0,3,1,-3,-10.0,950777,2451920,1,2,0,0,0,1
0,6,BAENA SÁNCHEZ_ PEDRO,23.616666666666667,5,2,3,5,3,0,2,0,0,0,0,0,2,-14.0,950777,1985418,0,0,1,3,1,8
1,8,VERCHER FERNANDEZ_ VICENT,15.75,0,0,1,1,0,0,0,0,0,0,3,1,-7,-13.0,950777,1807414,0,2,0,2,0,2
1,10,SANTAMATILDE PERIS_ VICENT,8.4,0,1,0,1,0,0,1,0,0,0,1,0,-1,-10.0,950777,1504969,0,0,0,0,0,0
1,12,MARCO CLIMENT_ FRANCISCO,33.96666666666667,14,3,5,8,1,1,2,0,0,0,1,6,21,-25.0,950777,1853272,1,2,5,8,1,3
0,13,BOIX GUILLEM_ JOSE FRANCISCO,11.566666666666666,0,0,1,1,0,1,0,0,0,0,0,0,0,-10.0,950777,1701869,0,0,0,0,0,2
1,15,LUENGO MATEO_ PABLO,28.466666666666665,25,1,2,3,2,1,2,0,0,0,2,4,20,-19.0,950777,1851070,4,4,3,5,5,14
0,20,FONT FENOLLAR_ ARNAU,13.016666666666667,2,0,1,1,0,0,1,0,0,0,2,1,-2,-9.0,950777,2034658,2,2,0,0,0,3
0,33,GONZALEZ MARIN_ DIEGO,13.2,4,1,1,2,0,0,0,0,0,0,1,0,5,-10.0,950777,1860866,0,0,2,2,0,0
0,35,GRAU PIQUERES_ CARLES,15.616666666666667,10,1,1,2,1,0,4,0,0,0,2,3,8,-20.0,950777,1761260,3,4,2,3,1,1
