inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,4,MALLIK BOUNAD_ RABAH DJIHAD,11.616666666666667,3,1,0,1,0,1,0,0,0,0,1,1,4,16.0,952153,2160246,1,2,1,1,0,0
1,8,CUBERO SANTAFE_ IVAN,17.35,6,1,0,1,1,2,1,0,0,0,2,1,6,24.0,952153,1868277,1,2,1,1,1,2
1,10,ZURBRIGGEN_ ALEJANDRO,16.9,7,0,1,1,3,1,3,0,0,0,0,2,6,23.0,952153,2451267,2,2,1,1,1,6
0,15,PELUFO LOZANO_ VICTOR,15.983333333333333,4,0,2,2,0,2,6,0,0,0,5,1,-4,-12.0,952153,1986323,0,0,2,4,0,0
0,17,LLACER SIMLAT_ EMILIO,20.016666666666666,6,1,5,6,0,3,5,0,0,0,4,3,0,8.0,952153,2090295,2,4,2,6,0,3
0,18,DALMAU ROIG_ JAVIER,18.53333333333333,7,1,4,5,3,2,3,1,0,0,1,2,13,2.0,952153,1618495,0,0,2,3,1,3
1,21,MARTINEZ HERNANDEZ_ MIGUEL,17.833333333333332,8,0,2,2,2,3,1,0,0,0,0,0,10,26.0,952153,1605142,0,0,1,2,2,5
0,22,MARTIN MARGARIT_ ALVARO,20.8,20,4,6,10,0,1,2,2,0,3,1,0,27,-10.0,952153,2024048,0,0,10,12,0,1
0,23,LERIN PEREZ_ IVAN,22.166666666666668,2,0,1,1,1,1,4,0,0,0,2,1,-1,-6.0,952153,1807111,0,0,1,2,0,0
1,50,ANTICH MINGUEZ_ POL,19.6,8,0,2,2,3,4,2,0,0,0,0,1,11,-1.0,952153,2033012,0,0,1,5,2,3
1,74,VERDEGUER FERRER_ LUIS,19.2,14,4,5,9,0,2,2,1,0,0,2,6,25,30.0,952153,228269,4,5,5,7,0,0
0,0,GALVEZ ARROYO_ VICTOR,23.58333333333333,10,2,2,4,2,2,4,0,0,0,3,3,10,-4.0,950873,1900426,4,5,3,5,0,1
1,3,GALVEZ ARROYO_ SAMUEL,24.666666666666668,13,1,0,1,3,2,1,0,0,0,1,4,12,-3.0,950873,1900423,3,5,2,5,2,6
0,4,PORRA MAESTRE_ JOEL,4.25,0,0,1,1,1,0,2,0,0,0,0,0,-1,-4.0,950873,2077062,0,0,0,0,0,1
0,7,BARTUAL BARDISA_ OSCAR,17.25,8,1,1,2,1,0,0,0,1,0,1,1,5,8.0,950873,1794812,0,1,1,2,2,6
0,9,GOMEZ-ARRONES MORGADO_ ALEJANDRO,16.95,5,0,4,4,1,1,2,0,0,0,1,2,8,14.0,950873,1086144,0,0,1,2,1,2
1,10,SERNEGUET GARVI_ ALDO JOSE,23.48333333333333,9,4,3,7,1,0,3,0,1,0,3,2,9,-13.0,950873,1677187,1,2,1,4,2,2
1,12,ALBALADEJO PEREZ_ NORBERTO,18.8,8,0,0,0,3,1,6,0,0,0,1,1,-1,-28.0,950873,1796561,0,0,4,7,0,4
0,13,COMINO DIEZ_ CARLOS,4.75,0,0,0,0,0,0,1,0,0,0,0,0,-4,1.0,950873,1698706,0,0,0,0,0,3
1,14,STRUKOV STRUKOV_ VALENTIN,23.166666666666668,4,2,3,5,1,1,5,0,0,1,1,1,3,-22.0,950873,1876136,0,0,2,4,0,1
1,16,SANCHEZ LUBIAN_ PEDRO MANUEL,19.416666666666668,5,2,1,3,2,0,3,0,0,0,2,1,2,-33.0,950873,1208481,0,0,1,2,1,4
0,24,SEVERA LENCINA_ CARLOS,13.916666666666666,0,0,1,1,0,0,0,0,0,0,2,1,-1,-15.0,950873,2020015,0,0,0,0,0,1
0,77,LOPEZ-VALVERDE CARRASCO_ PABLO,9.766666666666667,3,2,3,5,0,0,1,0,2,0,3,1,0,-1.0,950873,1699015,0,0,0,3,1,3
