inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,4,MALLIK BOUNAD_ RABAH DJIHAD,6.383333333333334,4,0,1,1,0,0,1,0,0,0,1,2,4,2.0,952153,2160246,2,2,1,2,0,0
0,8,CUBERO SANTAFE_ IVAN,15.516666666666667,7,0,1,1,1,2,3,0,0,0,2,1,7,18.0,952153,1868277,0,0,2,2,1,1
1,10,ZURBRIGGEN_ ALEJANDRO,16.616666666666667,11,0,4,4,1,0,3,0,0,0,1,3,10,19.0,952153,2451267,0,0,1,2,3,7
0,15,PELUFO LOZANO_ VICTOR,20.05,4,1,2,3,0,3,1,0,0,1,0,0,7,11.0,952153,1986323,0,0,2,4,0,0
0,17,LLACER SIMLAT_ EMILIO,24.83333333333333,18,2,3,5,3,0,0,0,0,0,0,1,21,19.0,952153,2090295,0,0,6,10,2,4
1,18,DALMAU ROIG_ JAVIER,23.8,4,1,2,3,4,2,3,0,0,0,1,2,4,13.0,952153,1618495,1,2,0,5,1,2
1,21,MARTINEZ HERNANDEZ_ MIGUEL,23.9,15,1,0,1,4,3,0,0,0,0,2,0,13,36.0,952153,1605142,0,0,3,7,3,7
0,22,MARTIN MARGARIT_ ALVARO,9.9,2,1,1,2,0,0,0,0,0,0,3,1,-1,-1.0,952153,2024048,0,2,1,2,0,0
0,23,LERIN PEREZ_ IVAN,16.1,6,0,0,0,1,1,2,0,1,0,1,4,7,-11.0,952153,1807111,2,2,2,3,0,1
1,50,ANTICH MINGUEZ_ POL,17.8,7,2,0,2,1,0,1,0,0,0,1,1,4,-3.0,952153,2033012,0,0,2,7,1,1
1,74,VERDEGUER FERRER_ LUIS,25.1,12,4,6,10,2,2,0,0,0,0,2,2,23,22.0,952153,228269,2,2,5,8,0,0
1,1,MOLINA LORENZ_ JOAQUIN,35.81666666666667,5,1,2,3,2,1,3,0,0,0,4,1,2,-24.0,950876,1889536,0,0,1,1,1,4
1,2,RAMOS CAMPOS_ NELO,20.15,6,1,3,4,1,0,0,0,0,0,1,0,5,-22.0,950876,2092444,0,0,0,0,2,7
0,8,CERDA BEZERRA_ HECTOR,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,950876,2228939,0,0,0,0,0,0
0,9,SARANOVIC_ BODIN,23.683333333333334,11,0,0,0,2,1,1,0,0,0,2,2,8,-3.0,950876,2373259,3,4,1,3,2,4
0,11,MAS GANDIA_ RAMON,0.8666666666666667,0,0,0,0,0,0,0,0,0,0,1,0,-1,-2.0,950876,2557180,0,0,0,0,0,0
0,13,ORTEGA MORA_ RAUL,11.466666666666669,1,0,1,1,2,0,1,0,0,0,3,2,0,1.0,950876,1890958,1,2,0,1,0,0
1,14,VILLALBA BAULBYS_ MARCO GABRIEL,23.8,11,1,6,7,0,1,4,1,0,0,1,0,12,-9.0,950876,2446581,0,0,1,1,3,6
1,15,TAEÑO ELEZ_ MARCOS,25.683333333333334,3,0,1,1,7,0,7,0,0,0,2,2,1,-19.0,950876,1824713,0,0,0,2,1,2
0,23,TAVARES DE BRITO_ WILLIAN SANDER,10.1,2,1,2,3,0,0,4,0,0,0,3,0,-2,-9.0,950876,2754695,0,0,1,1,0,0
1,44,DIAGNE_ MAMADOU SALIF,37.23333333333333,22,3,5,8,4,2,5,0,0,0,0,6,24,-24.0,950876,2276147,5,9,7,16,1,1
0,73,BARBERO LOPEZ_ IKER,10.65,4,0,1,1,0,0,1,0,0,0,0,1,2,-12.0,950876,1509828,1,2,0,1,1,2
