inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,3,ORTIN GOMEZ_ MIGUEL,14.416666666666666,8,1,1,2,2,0,4,0,0,0,2,1,6,-2.0,952559,1698640,0,0,1,2,2,2
1,8,BERMUDEZ HERRERO_ JORGE,28.416666666666668,15,0,5,5,3,2,3,1,1,0,1,3,19,6.0,952559,1687924,2,2,2,6,3,5
0,10,LOPEZ IGUAL_ ALVARO,6.05,5,0,1,1,2,0,0,0,0,0,0,0,7,0.0,952559,1796571,0,0,1,1,1,2
1,13,VAICIUNAS_ AIRIDAS,26.53333333333333,6,2,3,5,2,1,2,1,0,0,1,0,9,-11.0,952559,2233345,0,0,3,6,0,0
0,15,PUJALTE MIRA_ JOSE ANTONIO,19.35,9,0,1,1,1,0,1,0,0,0,1,1,6,14.0,952559,1995786,2,2,2,3,1,4
1,17,SEGUI HEREDIA_ CHRISTIAN,25.7,10,0,2,2,8,1,3,0,0,0,2,7,16,9.0,952559,1706355,6,8,2,5,0,2
1,18,FERNANDEZ CARRASCO_ MATEO,29.55,10,2,4,6,1,2,0,0,0,0,2,1,8,4.0,952559,1673632,2,2,1,2,2,11
1,21,GARCIA RUIZ_ ANTONIO DANIEL,23.98333333333333,4,2,1,3,0,1,1,0,0,0,3,1,1,4.0,952559,1614405,0,2,2,3,0,1
0,25,SIDIBE_ BOUBACAR FADIALA,26.0,9,5,2,7,2,0,2,2,0,1,1,2,11,1.0,952559,2216933,1,4,4,9,0,0
0,2,TALENS ALBERO_ OVIDI,4.05,2,0,0,0,0,0,2,0,0,0,0,0,0,-5.0,950835,2102105,0,0,1,1,0,0
0,4,IGLESIAS CAMINO_ ANXO,20.4,8,2,2,4,5,2,0,0,1,0,1,4,13,-8.0,950835,1828632,1,2,2,7,1,4
1,11,LOPEZ ZOROA_ FRANCISCO,29.683333333333334,11,0,5,5,1,0,2,0,0,0,2,1,9,6.0,950835,1889530,1,1,5,7,0,3
1,13,MARTÍNEZ CUCALÓN_ NICOLÁS,26.466666666666665,9,1,0,1,2,2,2,0,0,0,2,1,5,-3.0,950835,2033341,2,2,2,5,1,4
1,14,LADSON BUGALLO_ WILL ALEXIO,20.4,2,2,0,2,1,2,1,0,0,0,2,1,0,-10.0,950835,2042389,0,0,1,5,0,1
1,17,MARTINEZ MUÑOZ_ JOSE LUIS,21.433333333333334,5,0,3,3,1,1,2,0,0,0,2,1,4,3.0,950835,1501246,2,2,0,2,1,2
0,21,PALAZON VICEDO_ GINES,20.1,10,2,2,4,1,2,0,0,0,0,2,2,15,-3.0,950835,2100996,3,4,2,3,1,1
1,23,CLEDJO_ NATHAN,40.0,18,4,9,13,2,1,4,1,2,0,3,3,23,-5.0,950835,2277572,4,4,4,7,2,7
0,34,BLAZQUEZ VIDAL_ ALEJANDRO,17.466666666666665,6,0,2,2,2,0,1,0,1,0,2,0,4,0.0,950835,1995455,0,0,3,5,0,1
