inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
1,0,MUÑOZ PALENCIA_ JESUS,31.883333333333333,14,2,5,7,0,2,2,1,0,0,3,1,8,-14.0,950778,2087557,2,2,0,2,4,14
0,1,NAPOLETANO_ GIORGIO,4.45,0,0,0,0,0,0,0,0,0,0,1,0,-1,-5.0,950778,2757662,0,0,0,0,0,0
0,2,PEREZ ABELLEIRA_ DARIO,18.23333333333333,0,1,0,1,1,1,0,0,0,0,4,0,-6,-19.0,950778,2366622,0,0,0,2,0,3
0,4,VICENT TORTOSA_ VICENTE,7.583333333333333,2,1,1,2,2,1,0,0,0,0,1,0,4,-8.0,950778,2165926,0,0,1,2,0,1
0,6,FERRIZ SELLES_ ALBERTO,5.433333333333334,2,1,2,3,0,0,0,0,0,0,0,0,4,-14.0,950778,2112479,0,0,1,2,0,0
1,7,CASTRILLON RODRIGUEZ_ OSCAR,32.68333333333333,14,3,9,12,1,2,2,1,2,0,2,3,22,-15.0,950778,2183928,0,2,7,12,0,0
1,9,TUDELA GARCIA_ GUSTAVO,13.75,0,0,1,1,0,2,0,0,0,0,3,0,-2,1.0,950778,2027626,0,0,0,1,0,1
0,10,GADEA VALENCIA_ VICTOR,17.766666666666666,4,2,0,2,0,0,0,0,1,0,4,0,-1,-5.0,950778,2141015,0,0,2,5,0,0
0,11,VERDU SCHLIE_ PAUL,16.116666666666667,2,0,0,0,1,0,1,0,0,0,1,0,-4,-24.0,950778,2265449,0,0,1,2,0,4
1,14,SABATER MARTINEZ_ GERMAN,32.85,10,2,10,12,5,1,3,2,2,0,2,2,10,-20.0,950778,2117260,0,2,5,17,0,3
1,42,KLOTZ MAROTO_ CONRAD,19.25,11,0,1,1,2,0,3,0,0,0,1,5,4,-7.0,950778,2221478,3,9,4,8,0,1
1,1,MOLINA LORENZ_ JOAQUIN,31.066666666666663,9,1,0,1,5,0,0,0,0,0,3,1,6,20.0,950876,1889536,1,2,1,4,2,5
0,2,RAMOS CAMPOS_ NELO,21.75,9,2,2,4,2,0,3,0,0,0,2,2,3,15.0,950876,2092444,0,0,0,3,3,9
0,8,CERDA BEZERRA_ HECTOR,0.8666666666666667,0,0,1,1,0,0,0,0,0,0,0,0,1,3.0,950876,2228939,0,0,0,0,0,0
0,9,MAS GANDIA_ RAMON,0.8666666666666667,0,1,0,1,0,0,0,0,0,0,0,0,0,3.0,950876,2557180,0,0,0,0,0,1
1,10,RAMOS BELASTEGUI_ EDUARD,24.05,14,1,6,7,3,0,1,0,1,0,1,1,15,14.0,950876,1955713,0,2,1,6,4,5
1,13,ORTEGA MORA_ RAUL,13.766666666666667,3,0,0,0,2,0,2,0,0,0,2,0,-4,3.0,950876,1890958,0,0,0,3,1,3
1,14,VILLALBA BAULBYS_ MARCO GABRIEL,20.2,13,2,2,4,1,0,3,0,0,0,0,0,8,12.0,950876,2446581,0,0,2,4,3,8
0,15,TAEÑO ELEZ_ MARCOS,26.23333333333333,11,1,10,11,9,2,0,0,1,0,2,7,28,23.0,950876,1824713,4,9,2,5,1,3
0,23,TAVARES DE BRITO_ WILLIAN SANDER,11.866666666666667,6,0,4,4,1,0,1,3,0,1,2,2,12,7.0,950876,2754695,2,3,2,2,0,0
1,44,DIAGNE_ MAMADOU SALIF,28.133333333333333,10,9,15,24,2,0,4,1,2,0,1,8,29,19.0,950876,2276147,4,7,3,11,0,0
0,73,BARBERO LOPEZ_ IKER,21.2,10,4,2,6,2,0,1,1,0,0,0,1,17,11.0,950876,1509828,2,2,4,5,0,1
