inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
0,2,TALENS ALBERO_ OVIDI,9.566666666666666,0,0,1,1,0,0,1,0,1,0,1,2,-2,3.0,950835,2102105,0,0,0,2,0,1
0,4,IGLESIAS CAMINO_ ANXO,21.28333333333333,10,2,5,7,1,1,2,0,1,0,0,2,14,14.0,950835,1828632,2,2,4,8,0,1
0,6,MARTÍN SORIANO_ VÍCTOR ENRIQUE,3.4833333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,950835,2092360,0,0,0,0,0,0
0,8,MAS MICO_ JAIME,5.85,2,1,3,4,0,0,1,0,0,0,1,0,4,7.0,950835,2182740,0,0,1,1,0,0
1,11,LOPEZ ZOROA_ FRANCISCO,19.816666666666663,9,2,5,7,4,0,4,1,0,0,1,1,15,24.0,950835,1889530,0,0,0,0,3,5
1,13,MARTÍNEZ CUCALÓN_ NICOLÁS,19.85,4,2,0,2,3,1,2,0,0,0,2,1,7,18.0,950835,2033341,0,0,2,2,0,0
1,14,LADSON BUGALLO_ WILL ALEXIO,28.366666666666667,20,4,7,11,1,1,1,2,0,0,1,6,31,19.0,950835,2042389,5,8,6,11,1,1
1,17,MARTINEZ MUÑOZ_ JOSE LUIS,23.58333333333333,4,0,2,2,4,3,3,0,0,0,2,1,4,17.0,950835,1501246,2,2,1,4,0,2
0,21,PALAZON VICEDO_ GINES,17.1,4,1,6,7,1,0,2,0,0,0,2,1,7,15.0,950835,2100996,2,2,1,1,0,2
1,23,CLEDJO_ NATHAN,30.33333333333333,18,3,3,6,3,1,3,1,1,1,1,6,22,23.0,950835,2277572,7,7,4,10,1,4
0,34,BLAZQUEZ VIDAL_ ALEJANDRO,12.566666666666666,6,2,1,3,0,0,1,0,0,0,3,0,4,14.0,950835,1995455,0,0,3,3,0,1
0,51,NAVARRO MORALES_ JAVIER,8.2,1,0,0,0,0,0,0,0,0,0,1,1,0,4.0,950835,2118686,1,2,0,0,0,0
1,0,MUÑOZ PALENCIA_ JESUS,31.383333333333333,5,0,1,1,1,3,4,2,0,0,3,2,0,-21.0,950778,2087557,2,2,0,1,1,7
0,1,NAPOLETANO_ GIORGIO,8.966666666666667,2,1,0,1,0,0,0,0,0,0,0,1,2,-9.0,950778,2757662,2,2,0,0,0,2
1,2,GARCIA ROSELLO_ MARCOS,21.65,8,1,1,2,0,4,2,0,3,0,2,2,2,-20.0,950778,2557720,1,2,2,8,1,4
1,3,GALVEZ ARROYO_ SAMUEL,30.65,9,0,1,1,4,1,0,0,0,0,3,3,6,-29.0,950778,1900423,1,2,4,8,0,4
0,4,VICENT TORTOSA_ VICENTE,9.0,0,0,1,1,1,0,1,0,0,0,2,1,-3,-5.0,950778,2165926,0,0,0,1,0,2
0,6,FERRIZ SELLES_ ALBERTO,1.8333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,950778,2112479,0,0,0,0,0,0
1,7,CASTRILLON RODRIGUEZ_ OSCAR,15.983333333333333,4,1,4,5,2,0,3,0,0,0,3,1,5,-12.0,950778,2183928,0,0,2,2,0,1
0,8,GALVEZ ARROYO_ VICTOR,14.766666666666667,2,0,2,2,0,1,0,0,0,0,1,1,-2,-12.0,950778,1900426,0,2,1,4,0,2
0,9,TUDELA GARCIA_ GUSTAVO,20.766666666666666,0,2,2,4,1,1,0,1,1,0,1,0,3,-27.0,950778,2027626,0,0,0,3,0,0
1,10,GADEA VALENCIA_ VICTOR,19.23333333333333,0,0,0,0,1,0,1,0,0,0,2,1,-2,-5.0,950778,2141015,0,0,0,1,0,0
0,14,SABATER MARTINEZ_ GERMAN,25.766666666666666,16,0,2,2,1,2,2,0,0,0,4,3,13,-19.0,950778,2117260,0,1,8,10,0,2
