inicial,dorsal,nombre_jugador,minutos,puntos,rebotes_ofensivos,rebotes_defensivos,rebotes_total,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion,balance,equipo,jugador,t1s,t1a,t2s,t2a,t3s,t3a
1,1,MOLINA LORENZ_ JOAQUIN,32.03333333333333,13,0,2,2,1,0,2,0,0,0,2,1,5,14.0,950876,1889536,0,0,2,5,3,8
0,2,RAMOS CAMPOS_ NELO,15.866666666666667,3,0,0,0,1,0,0,0,0,0,0,0,2,-1.0,950876,2092444,0,0,0,0,1,3
0,9,SARANOVIC_ BODIN,9.5,5,0,0,0,0,1,0,0,0,0,0,1,6,-1.0,950876,2373259,0,0,1,1,1,2
1,10,RAMOS BELASTEGUI_ EDUARD,23.75,16,2,0,2,2,0,2,0,0,0,2,0,13,6.0,950876,1955713,2,2,4,4,2,5
0,11,MAS GANDIA_ RAMON,1.85,0,0,0,0,0,0,0,0,0,0,0,1,1,-1.0,950876,2557180,0,0,0,0,0,0
0,13,ORTEGA MORA_ RAUL,9.25,0,1,2,3,1,1,1,0,0,0,3,1,2,-4.0,950876,1890958,0,0,0,0,0,0
1,14,VILLALBA BAULBYS_ MARCO GABRIEL,26.85,11,0,6,6,2,0,1,0,0,0,3,1,10,2.0,950876,2446581,1,2,2,4,2,5
1,15,TAEÑO ELEZ_ MARCOS,21.9,4,1,4,5,1,1,3,0,0,0,3,4,5,3.0,950876,1824713,2,2,1,4,0,1
0,23,TAVARES DE BRITO_ WILLIAN SANDER,0.2166666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,950876,2754695,0,0,0,0,0,0
1,44,DIAGNE_ MAMADOU SALIF,37.1,21,4,8,12,4,0,4,0,0,0,3,7,28,6.0,950876,2276147,5,9,8,13,0,0
0,73,BARBERO LOPEZ_ IKER,21.683333333333334,20,3,5,8,1,1,0,0,0,0,1,2,26,13.0,950876,1509828,2,3,9,12,0,1
1,0,HENRIQUE RIBEIRO FORMOSO_ RAINA ANDRE,12.25,4,0,2,2,0,0,0,0,0,0,1,0,5,-2.0,950777,2267726,0,0,2,2,0,0
0,3,MCGUIRK_ LIAM,17.65,8,2,4,6,1,0,0,0,0,0,1,3,14,-11.0,950777,1616642,3,4,1,2,1,2
1,5,CERVANTES GUERRA_ LUIS MANUEL,27.75,14,5,2,7,1,0,2,0,0,0,4,3,14,1.0,950777,2451920,2,3,6,9,0,1
0,6,BAENA SÁNCHEZ_ PEDRO,21.916666666666668,16,1,0,1,2,2,0,0,0,0,3,1,8,6.0,950777,1985418,1,2,3,7,3,9
0,8,VERCHER FERNANDEZ_ VICENT,8.7,3,1,0,1,1,1,1,0,0,0,0,0,4,4.0,950777,1807414,0,0,0,0,1,2
0,10,SANTAMATILDE PERIS_ VICENT,8.433333333333334,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1.0,950777,1504969,0,0,0,0,0,1
1,12,MARCO CLIMENT_ FRANCISCO,38.15,22,2,9,11,4,2,1,0,0,0,2,3,36,-8.0,950777,1853272,3,3,8,10,1,2
0,13,BOIX GUILLEM_ JOSE FRANCISCO,12.816666666666666,9,0,2,2,0,0,2,0,0,0,2,2,5,-16.0,950777,1701869,2,3,2,2,1,4
1,15,LUENGO MATEO_ PABLO,22.183333333333334,1,0,1,1,1,2,3,0,0,0,1,4,-3,5.0,950777,1851070,1,2,0,2,0,5
0,20,FONT FENOLLAR_ ARNAU,17.9,5,0,1,1,1,0,1,0,0,0,3,1,0,-11.0,950777,2034658,0,0,1,2,1,4
1,35,GRAU PIQUERES_ CARLES,12.25,4,0,1,1,1,0,3,0,0,0,2,0,-1,-2.0,950777,1761260,0,0,2,4,0,0
